best_params,model_name,target,rmse_train,rmse_test,mae_test,r2_test,overfit_ratio,split_seed,track,feature_set
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",XGB,T_C,0.6393984568471077,82.17562157673935,64.07510039021618,0.8608448588652123,0.007780877644472798,44,opx_liq,raw
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.5795108239371288,3.901187406252254,3.1875133488958896,0.7895967120729337,0.1485472917831052,44,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': 3, 'learning_rate': 0.01, 'l2_regularization': 1.0}",GB,T_C,45.19261381321401,72.87377403177469,60.333059116816,0.8905651155180921,0.6201492157316975,44,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,1.6111651789881514,3.939433218695956,3.185327525903546,0.7854510564123003,0.4089840059584725,44,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",RF,T_C,16.076560620637064,70.52135600443458,55.32810979647715,0.8975163535700421,0.22796726454928243,44,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,P_kbar,0.3461575346824621,5.2085433354988115,4.1864276432413785,0.6249480232582338,0.06645956698166,44,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",ERT,T_C,28.435181398930624,76.50457465237375,60.23968147046017,0.8793886800269365,0.37167949143088724,44,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_depth': None}",ERT,P_kbar,1.597220782034265,4.554040464098571,3.6016594518243794,0.7132835139879123,0.35072608480882694,44,opx_liq,alr
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",XGB,T_C,0.5615931933126898,84.41183662954928,68.12304558147628,0.8531682550254627,0.00665301473983209,44,opx_liq,alr
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.31801466262418193,3.95035818583378,3.2378650549822567,0.7842594178317109,0.08050274118549591,44,opx_liq,alr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 1.0}",GB,T_C,26.590472197359784,73.07349349805656,56.743944533935526,0.8899644542539203,0.36388669713823074,44,opx_liq,alr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 1.0}",GB,P_kbar,1.9083683859469376,4.631256242084878,3.775074883215541,0.7034782760670863,0.4120627938064245,44,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",RF,T_C,0.0,74.70083271296168,60.39124625374626,0.8850089216434284,0.0,44,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",RF,P_kbar,1.1342858037980283,4.665280285248075,3.7390719002891952,0.6991054118141689,0.24313347418475909,44,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': None}",ERT,T_C,0.0,75.98303666066776,60.31254120029631,0.881027509524342,0.0,44,opx_liq,pwlr
