pipeline,model,feature_set,track,target,n_seeds,rmse_std_8dp,is_exactly_zero,is_rounded_zero,inferred_source
cpx,MLP,pwlr,cpx_only,T_C,20,7.35083909,False,False,stochastic_fit_ok
cpx,MLP,raw,cpx_only,T_C,20,5.66867981,False,False,stochastic_fit_ok
cpx,RF,alr,cpx_liq,P_kbar,20,0.05854691,False,False,stochastic_fit_ok
cpx,RF,pwlr,cpx_liq,P_kbar,20,0.05767583,False,False,stochastic_fit_ok
cpx,RF,raw,cpx_liq,P_kbar,20,0.04573573,False,False,stochastic_fit_ok
cpx,RF,alr,cpx_only,P_kbar,20,0.49087169,False,False,stochastic_fit_ok
cpx,RF,pwlr,cpx_only,P_kbar,20,0.39667998,False,False,stochastic_fit_ok
cpx,RF,raw,cpx_only,P_kbar,20,0.06814838,False,False,stochastic_fit_ok
cpx,RF,alr,cpx_liq,T_C,20,0.35132985,False,False,stochastic_fit_ok
cpx,RF,pwlr,cpx_liq,T_C,20,0.29759850,False,False,stochastic_fit_ok
cpx,RF,raw,cpx_liq,T_C,20,0.35087677,False,False,stochastic_fit_ok
cpx,RF,alr,cpx_only,T_C,20,1.39396866,False,False,stochastic_fit_ok
cpx,RF,pwlr,cpx_only,T_C,20,0.66914252,False,False,stochastic_fit_ok
cpx,RF,raw,cpx_only,T_C,20,0.47677867,False,False,stochastic_fit_ok
cpx,XGB,alr,cpx_liq,P_kbar,20,0.06136956,False,False,stochastic_fit_ok
cpx,XGB,pwlr,cpx_liq,P_kbar,20,0.16037264,False,False,stochastic_fit_ok
cpx,XGB,raw,cpx_liq,P_kbar,20,0.10236130,False,False,stochastic_fit_ok
cpx,XGB,alr,cpx_only,P_kbar,20,0.51097990,False,False,stochastic_fit_ok
cpx,XGB,pwlr,cpx_only,P_kbar,20,1.33781231,False,False,stochastic_fit_ok
cpx,XGB,raw,cpx_only,P_kbar,20,0.34513825,False,False,stochastic_fit_ok
cpx,XGB,alr,cpx_liq,T_C,20,0.42397961,False,False,stochastic_fit_ok
cpx,XGB,pwlr,cpx_liq,T_C,20,1.18023011,False,False,stochastic_fit_ok
cpx,XGB,raw,cpx_liq,T_C,20,0.59270685,False,False,stochastic_fit_ok
cpx,XGB,alr,cpx_only,T_C,20,0.62466146,False,False,stochastic_fit_ok
cpx,XGB,pwlr,cpx_only,T_C,20,0.79272003,False,False,stochastic_fit_ok
cpx,XGB,raw,cpx_only,T_C,20,0.58709317,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_liq,P_kbar,20,0.13189118,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_only,P_kbar,20,0.41830358,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_liq,T_C,20,0.98154658,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_only,T_C,20,2.34605946,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_liq,P_kbar,20,0.13189118,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_only,P_kbar,20,0.41830358,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_liq,T_C,20,0.98154658,False,False,stochastic_fit_ok
cpx,TabPFN,raw,cpx_only,T_C,20,2.34605946,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_liq,P_kbar,20,0.13249169,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_only,P_kbar,20,0.11385162,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_liq,T_C,20,1.12357914,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_only,T_C,20,1.36613803,False,False,stochastic_fit_ok
