pipeline,track,target,regime_type,regime,regime_lo,regime_hi,n,method_family,method,method_label,rmse,rmse_lo,rmse_hi,mae,mae_lo,mae_hi,n_used
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,RF/alr,v10 RF alr,7.804622497952935,6.004312404591427,9.596206792488314,5.922144871153118,4.623796948321926,7.4447771758877215,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,RF/pwlr,v10 RF pwlr,7.912635782746128,6.27398339064839,9.480248080036901,6.214101311220766,5.01779314680238,7.534621212973994,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,ERT/raw,v10 ERT raw,157.7054259310865,138.3111957976169,176.25169294613994,143.55124126887264,125.64264801515598,161.02414254699582,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,ERT/alr,v10 ERT alr,152.95485899935764,135.57889160081302,169.33842747901812,138.5645114533044,120.28801618611702,156.52546290110206,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,ERT/pwlr,v10 ERT pwlr,134.23049827074172,120.31756746700592,146.7033088364973,124.53965384340376,109.78061692272203,138.35613710763627,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,ERT/raw,v10 ERT raw,7.192438024464698,5.665352950361073,8.757453742980598,5.6180244197721265,4.4144987685524475,6.980732468092684,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,ERT/alr,v10 ERT alr,9.107900507591099,7.541149980881215,10.710269611007392,7.514688228989786,6.232859199408202,9.034448329741195,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,ERT/pwlr,v10 ERT pwlr,8.689027044200454,7.48653511238451,9.907966952329133,7.5171484818037015,6.396846963427104,8.738831167586701,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,XGB/raw,v10 XGB raw,115.47434534614929,100.6662673389656,128.26887027163957,102.4492581685384,85.73761059443156,116.72991930643717,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,XGB/alr,v10 XGB alr,120.30587526141379,105.81243968666466,133.77878675470353,108.47011057535808,93.62958501180013,122.900892384847,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,XGB/pwlr,v10 XGB pwlr,127.59545977651914,111.47511744485335,141.37069713465985,114.2449124654134,98.17343142827352,129.57241373062132,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,XGB/raw,v10 XGB raw,7.472295851568284,5.752225482275332,9.268880611840485,5.999428457654786,4.860002546866183,7.389951194603218,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,XGB/alr,v10 XGB alr,7.548845845009661,5.949763259956083,9.161405826824184,5.764909465250643,4.595122171178529,7.249260159980425,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,XGB/pwlr,v10 XGB pwlr,7.945127402026178,6.455545905157142,9.324144480325412,6.26707221100454,4.977081087793945,7.651568771252791,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,GB/raw,v10 GB raw,108.26393553740846,90.89507136454576,122.97443047124845,90.67390520193506,73.84792583908656,106.57043806566723,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,GB/alr,v10 GB alr,108.88061586785176,96.7249289515158,119.22588774197361,99.31260991649651,85.71093427579237,111.24365285764354,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,GB/pwlr,v10 GB pwlr,137.28197291163474,120.13678574733737,154.3705922402562,122.62605149720657,106.52422305258852,140.74025771383668,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,GB/raw,v10 GB raw,7.543017353560378,6.0517910288367665,9.123172800198649,6.3526763618820965,5.329015404417382,7.572332418116176,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,GB/alr,v10 GB alr,8.298836269267536,6.93628075609246,9.777056107315905,6.975005261368817,5.85880856339891,8.363122142616898,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,GB/pwlr,v10 GB pwlr,8.87076179567877,7.536596931440872,10.315589580224016,7.883677569346593,6.792260032616388,9.028990150133199,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,CatBoost/raw,v10 CatBoost raw,132.0016696220847,114.81971178907988,146.63507758455043,118.58318090548967,101.75663710667831,134.5968968918894,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,CatBoost/alr,v10 CatBoost alr,135.66659697408554,121.19599430200894,148.61947636234981,125.22410682084843,109.4481104581788,139.12149457943204,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,CatBoost/pwlr,v10 CatBoost pwlr,133.7898257179356,116.2995815562532,148.48372229553848,121.24344118122683,104.29528474461358,136.11723657865517,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,CatBoost/raw,v10 CatBoost raw,8.242076680059334,6.698453571003513,9.79844768013712,6.478661260175261,5.151437298690493,7.958320248890266,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,CatBoost/alr,v10 CatBoost alr,8.132600566893167,6.65833219479456,9.646423451619713,6.69063877902119,5.470234523768106,8.07511106412366,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,CatBoost/pwlr,v10 CatBoost pwlr,7.563983686013897,6.364492917631601,8.772069275416483,6.212907311953288,5.101239276324079,7.42479337695316,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,LightGBM/raw,v10 LightGBM raw,122.94157625669165,108.09956442231271,136.86264226572183,109.43120307586283,93.98069800765843,125.29763601650711,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,LightGBM/alr,v10 LightGBM alr,112.19479713902862,97.68889897562921,124.77720320400178,101.08904255595176,85.52420484360914,114.67857530941315,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,LightGBM/pwlr,v10 LightGBM pwlr,141.4646866878054,124.51993994881722,156.237594813066,128.95157514795025,111.61532057324911,145.80255003471095,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,LightGBM/raw,v10 LightGBM raw,7.596148606030257,6.100053279402687,9.167414478010983,6.3354175922935605,5.3348831377660675,7.654510250417489,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,LightGBM/alr,v10 LightGBM alr,8.52330927423,7.145129965366695,9.941991121818125,7.269466152039257,6.177647691115032,8.736332846859144,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,LightGBM/pwlr,v10 LightGBM pwlr,8.757645353134325,7.589880531662996,9.933882733864337,7.519584468410026,6.346414974895558,8.745158855553248,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,ElasticNet/raw,v10 ElasticNet raw,184.71519038699924,166.6406416739999,200.74866886885462,170.70306138870788,148.54666914586363,189.3422782064868,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,ElasticNet/alr,v10 ElasticNet alr,203.2403041372606,183.83395917411212,218.98317337890504,188.05596760529838,163.90840309914486,208.29207882125237,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,ElasticNet/pwlr,v10 ElasticNet pwlr,181.2152273526742,165.04191948995592,196.48753265906154,169.76556766139439,151.72511431418218,187.3927022185874,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,ElasticNet/raw,v10 ElasticNet raw,9.953727410875793,8.614250935870814,11.520770358803876,9.26710767032341,8.350995720934517,10.357245531358357,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,ElasticNet/alr,v10 ElasticNet alr,11.379893436273594,10.9254159344073,11.826334368578216,11.25702958043208,10.786293372720818,11.732010900980253,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,ElasticNet/pwlr,v10 ElasticNet pwlr,11.244261142655562,10.810479825300094,11.717066595753483,11.123776799530669,10.664038749137283,11.626021205548367,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,MLP/raw,v10 MLP raw,134.92668156985835,120.3660481827237,147.36064827870806,124.45565053048558,108.94699933971421,139.02211673400146,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,MLP/alr,v10 MLP alr,205.70363381126327,188.642645819968,220.87079477365833,196.06676499754857,177.49452530482026,212.64018418996955,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,MLP/pwlr,v10 MLP pwlr,162.76638896016843,142.959190832733,180.4920824784558,146.2888128135682,126.87012133883906,164.32360905124628,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,MLP/raw,v10 MLP raw,7.566769350534051,5.756629267688999,9.122055371196467,5.622049724141956,4.288354784778574,7.102917319788444,46
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,MLP/alr,v10 MLP alr,11.167553504417468,9.18239831385834,13.089062127537286,9.124685918972931,7.228324138680465,10.996670271323362,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,MLP/pwlr,v10 MLP pwlr,7.367631654844587,5.399356861183785,9.186049043903953,4.9493778957746555,3.6176131603835326,6.472127791471002,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,Putirka,Putirka 29c,Putirka 29c,2.197173215181949,1.6926008808713655,2.7174502826109785,1.745866222298224,1.365751688448909,2.1700611000693883,41
opx,opx_only,T_C,P,5<=P<10,5.0,10.0,20,v10,RF/raw,v10 RF raw,168.84110796171092,120.03604216021625,216.66983009265667,138.69382767585384,100.43149831094851,181.84548437081088,20
opx,opx_only,T_C,P,5<=P<10,5.0,10.0,20,v10,RF/alr,v10 RF alr,170.0208057727051,123.41719039300187,215.11690765214945,141.3260915588558,102.84048007979125,184.91177891970065,20
opx,opx_only,T_C,P,5<=P<10,5.0,10.0,20,v10,RF/pwlr,v10 RF pwlr,157.05840726778843,103.0893016584724,208.78605030156504,123.27868583240222,85.36929207449127,165.3910355045265,20
