perturbation,regime,n,edges,a,b,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,pipeline,track,target,model,feature_set,seed,ships,overall_delta,max_regime_degradation
inner_p1,ALL,174,"[0.0, 6.0, 16.0, 31.0, 100.0]",,,3.8156075524062625,3.0776996465858186,4.5378510736536475,2.331090889728757,2.048808596692572,2.5952912742434426,1.4845166626775055,opx,opx_liq,P_kbar,MLP,raw,42,True,1.4845166626775055,-0.8721022510838434
base,shallow_crustal,47,"[0.0, 5.0, 15.0, 30.0, 100.0]",1.034152172635465,-64.3510319702691,35.32950358085321,27.961208860593995,43.55859368973736,54.006636004063424,47.25761027403465,62.59992270589514,-18.67713242321021,opx,opx_liq,T_C,ElasticNet,raw,42,False,-0.10707016008774417,18.67713242321021
base,deep_crustal_MASH,61,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.8437657523057697,192.72872973294727,78.46430688784936,30.4019564877789,111.63579873037429,76.91907335208339,33.26969975772576,107.70022624294684,1.5452335357659734,opx,opx_liq,T_C,ElasticNet,raw,42,False,-0.10707016008774417,18.67713242321021
base,lithospheric_mantle,58,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.9187051393657452,116.33389333975128,93.69829552756158,79.13460752368721,108.67377682916808,93.57682885645931,79.00315163672316,108.8047695566374,0.12146667110226872,opx,opx_liq,T_C,ElasticNet,raw,42,False,-0.10707016008774417,18.67713242321021
base,deeper_mantle,8,"[0.0, 5.0, 15.0, 30.0, 100.0]",1.3259578566146728,-463.84792080565444,105.9964097006879,78.46460548926954,130.08281968715897,61.54209231712875,52.23164562645263,70.11253360240215,44.45431738355916,opx,opx_liq,T_C,ElasticNet,raw,42,False,-0.10707016008774417,18.67713242321021
base,ALL,174,"[0.0, 5.0, 15.0, 30.0, 100.0]",,,77.0618899410801,61.8127831083382,92.72640712765818,77.16896010116784,63.232113534729024,91.64478968710497,-0.10707016008774417,opx,opx_liq,T_C,ElasticNet,raw,42,False,-0.10707016008774417,18.67713242321021
inner_m1,shallow_crustal,47,"[0.0, 4.0, 14.0, 29.0, 100.0]",1.0342299409501503,-63.35770771920147,35.32950358085321,27.961208860593995,43.55859368973736,53.05721144479852,46.279999980792795,61.64883426188496,-17.727707863945305,opx,opx_liq,T_C,ElasticNet,raw,42,False,0.12420996415670515,17.727707863945305
inner_m1,deep_crustal_MASH,61,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.8501644127751029,183.51545198899703,78.46430688784936,30.4019564877789,111.63579873037429,76.7671597774305,33.13556697945153,107.45566989729414,1.6971471104188538,opx,opx_liq,T_C,ElasticNet,raw,42,False,0.12420996415670515,17.727707863945305
inner_m1,lithospheric_mantle,58,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.9187051393657452,116.33389333975128,93.69829552756158,79.13460752368721,108.67377682916808,93.57682885645931,79.00315163672316,108.8047695566374,0.12146667110226872,opx,opx_liq,T_C,ElasticNet,raw,42,False,0.12420996415670515,17.727707863945305
inner_m1,deeper_mantle,8,"[0.0, 4.0, 14.0, 29.0, 100.0]",1.3259578566146728,-463.84792080565444,105.9964097006879,78.46460548926954,130.08281968715897,61.54209231712875,52.23164562645263,70.11253360240215,44.45431738355916,opx,opx_liq,T_C,ElasticNet,raw,42,False,0.12420996415670515,17.727707863945305
