pipeline,track,target,feature_set,model,seed,aug_n_copies,aug_rel_noise,test_rmse,elapsed_s
opx,opx_liq,T_C,alr,XGB,59,15,0.03,160.84008257473798,17.196584224700928
opx,opx_liq,T_C,alr,XGB,60,15,0.03,160.30452545202903,17.049343585968018
opx,opx_liq,T_C,alr,XGB,61,15,0.03,160.1059573728954,7.181149244308472
opx,opx_liq,T_C,alr,GB,42,15,0.03,149.49486790063136,4.001073360443115
opx,opx_liq,T_C,alr,GB,43,15,0.03,152.65289343214604,2.895320177078247
opx,opx_liq,T_C,alr,GB,44,15,0.03,152.56846995744536,2.9162063598632812
opx,opx_liq,T_C,alr,GB,45,15,0.03,152.4722998869228,3.7353785037994385
opx,opx_liq,T_C,alr,GB,46,15,0.03,154.3194257754878,4.629902362823486
opx,opx_liq,T_C,alr,GB,47,15,0.03,151.4056452255162,2.6629178524017334
opx,opx_liq,T_C,alr,GB,48,15,0.03,149.3459739354479,3.018338203430176
opx,opx_liq,T_C,alr,GB,49,15,0.03,153.5757909439187,2.865107297897339
opx,opx_liq,T_C,alr,GB,50,15,0.03,150.49891569571375,5.003262281417847
opx,opx_liq,T_C,alr,GB,51,15,0.03,153.2029157680787,5.1280553340911865
opx,opx_liq,T_C,alr,GB,52,15,0.03,149.53721173589926,5.580543279647827
opx,opx_liq,T_C,alr,GB,53,15,0.03,149.7531829286958,5.089064359664917
opx,opx_liq,T_C,alr,GB,54,15,0.03,151.1796464637809,5.611644744873047
opx,opx_liq,T_C,alr,GB,55,15,0.03,153.24736350370083,4.692197322845459
opx,opx_liq,T_C,alr,GB,56,15,0.03,150.25732219359537,3.8880932331085205
opx,opx_liq,T_C,alr,GB,57,15,0.03,151.07536921490126,4.217206716537476
opx,opx_liq,T_C,alr,GB,58,15,0.03,149.32477250988836,3.9321022033691406
opx,opx_liq,T_C,alr,GB,59,15,0.03,152.95864486860918,3.8641066551208496
opx,opx_liq,T_C,alr,GB,60,15,0.03,152.13037909891966,3.786522388458252
opx,opx_liq,T_C,alr,GB,61,15,0.03,152.59993691649916,2.987332344055176
opx,opx_liq,T_C,alr,CatBoost,42,15,0.03,142.3453115726895,2.196366786956787
opx,opx_liq,T_C,alr,CatBoost,43,15,0.03,140.80631790415984,2.1325862407684326
opx,opx_liq,T_C,alr,CatBoost,44,15,0.03,139.39853325183196,2.3974575996398926
opx,opx_liq,T_C,alr,CatBoost,45,15,0.03,140.29865556119142,2.001255512237549
opx,opx_liq,T_C,alr,CatBoost,46,15,0.03,139.1713639309203,1.9428801536560059
opx,opx_liq,T_C,alr,CatBoost,47,15,0.03,139.66619313303826,2.0862436294555664
opx,opx_liq,T_C,alr,CatBoost,48,15,0.03,142.19030825877823,2.1163525581359863
opx,opx_liq,T_C,alr,CatBoost,49,15,0.03,142.45613504248965,2.082070827484131
opx,opx_liq,T_C,alr,CatBoost,50,15,0.03,143.0430553328582,2.141922950744629
opx,opx_liq,T_C,alr,CatBoost,51,15,0.03,140.9048239091127,1.8668255805969238
opx,opx_liq,T_C,alr,CatBoost,52,15,0.03,138.77809806158422,2.1683013439178467
opx,opx_liq,T_C,alr,CatBoost,53,15,0.03,139.9060909429121,1.9545485973358154
opx,opx_liq,T_C,alr,CatBoost,54,15,0.03,139.83860738841412,2.4400932788848877
opx,opx_liq,T_C,alr,CatBoost,55,15,0.03,140.49805809111663,2.107739210128784
opx,opx_liq,T_C,alr,CatBoost,56,15,0.03,138.5684514671571,1.981982707977295
opx,opx_liq,T_C,alr,CatBoost,57,15,0.03,141.49378831225647,2.0723843574523926
opx,opx_liq,T_C,alr,CatBoost,58,15,0.03,141.08270945095165,2.048462390899658
opx,opx_liq,T_C,alr,CatBoost,59,15,0.03,140.00462918752328,2.055126190185547
opx,opx_liq,T_C,alr,CatBoost,60,15,0.03,141.57358142540176,2.0741047859191895
opx,opx_liq,T_C,alr,CatBoost,61,15,0.03,141.24857159497114,1.9542560577392578
opx,opx_liq,T_C,alr,LightGBM,42,15,0.03,156.7952066971341,0.8046245574951172
opx,opx_liq,T_C,alr,LightGBM,43,15,0.03,156.4292723937648,0.906303882598877
opx,opx_liq,T_C,alr,LightGBM,44,15,0.03,160.64562025202787,0.665585994720459
opx,opx_liq,T_C,alr,LightGBM,45,15,0.03,154.0578147876603,0.6418235301971436
opx,opx_liq,T_C,alr,LightGBM,46,15,0.03,160.13431453148692,0.7829713821411133
opx,opx_liq,T_C,alr,LightGBM,47,15,0.03,153.39032840399256,0.9548518657684326
opx,opx_liq,T_C,alr,LightGBM,48,15,0.03,155.0775483633806,0.8818807601928711
opx,opx_liq,T_C,alr,LightGBM,49,15,0.03,156.60056719004726,0.9371428489685059
opx,opx_liq,T_C,alr,LightGBM,50,15,0.03,158.30547761431717,0.8879396915435791
opx,opx_liq,T_C,alr,LightGBM,51,15,0.03,153.9158816834607,1.030843734741211
opx,opx_liq,T_C,alr,LightGBM,52,15,0.03,155.49091575394394,0.991020679473877
opx,opx_liq,T_C,alr,LightGBM,53,15,0.03,156.55990047160537,0.757824182510376
opx,opx_liq,T_C,alr,LightGBM,54,15,0.03,152.92926687510902,0.7973566055297852
opx,opx_liq,T_C,alr,LightGBM,55,15,0.03,155.88965736195843,0.8436629772186279
opx,opx_liq,T_C,alr,LightGBM,56,15,0.03,156.00142165616955,0.8409891128540039
opx,opx_liq,T_C,alr,LightGBM,57,15,0.03,158.49518044104533,0.66867995262146
opx,opx_liq,T_C,alr,LightGBM,58,15,0.03,159.6942664391038,0.6742472648620605
opx,opx_liq,T_C,alr,LightGBM,59,15,0.03,154.9369462941657,0.8354470729827881
opx,opx_liq,T_C,alr,LightGBM,60,15,0.03,152.60940524975882,0.7398505210876465
opx,opx_liq,T_C,alr,LightGBM,61,15,0.03,151.47391721209533,0.8231875896453857
opx,opx_liq,T_C,alr,ElasticNet,42,15,0.03,93.00082760765548,0.16381573677062988
opx,opx_liq,T_C,alr,ElasticNet,43,15,0.03,93.20126835773102,0.10802984237670898
opx,opx_liq,T_C,alr,ElasticNet,44,15,0.03,93.13589945125489,0.09427928924560547
opx,opx_liq,T_C,alr,ElasticNet,45,15,0.03,93.06793348272524,0.08898425102233887
opx,opx_liq,T_C,alr,ElasticNet,46,15,0.03,93.12020953634322,0.08308768272399902
opx,opx_liq,T_C,alr,ElasticNet,47,15,0.03,93.15100479041794,0.08171606063842773
opx,opx_liq,T_C,alr,ElasticNet,48,15,0.03,93.06232789831938,0.09079766273498535
opx,opx_liq,T_C,alr,ElasticNet,49,15,0.03,93.00348988954435,0.08798503875732422
opx,opx_liq,T_C,alr,ElasticNet,50,15,0.03,93.02533128822058,0.08694314956665039
opx,opx_liq,T_C,alr,ElasticNet,51,15,0.03,93.08373594491361,0.08574438095092773
opx,opx_liq,T_C,alr,ElasticNet,52,15,0.03,93.15423983790177,0.08202672004699707
opx,opx_liq,T_C,alr,ElasticNet,53,15,0.03,93.1132552071757,0.08354520797729492
opx,opx_liq,T_C,alr,ElasticNet,54,15,0.03,92.9193009914754,0.08350467681884766
opx,opx_liq,T_C,alr,ElasticNet,55,15,0.03,93.09940431505719,0.07989192008972168
opx,opx_liq,T_C,alr,ElasticNet,56,15,0.03,93.07618187573436,0.07906937599182129
opx,opx_liq,T_C,alr,ElasticNet,57,15,0.03,93.11802139671178,0.08346962928771973
opx,opx_liq,T_C,alr,ElasticNet,58,15,0.03,93.09376234242868,0.07926344871520996
opx,opx_liq,T_C,alr,ElasticNet,59,15,0.03,93.04409305390105,0.084869384765625
opx,opx_liq,T_C,alr,ElasticNet,60,15,0.03,92.9804078326999,0.078948974609375
opx,opx_liq,T_C,alr,ElasticNet,61,15,0.03,92.93211098016644,0.07805895805358887
opx,opx_liq,T_C,alr,MLP,42,15,0.03,116.37520559132062,13.365234136581421
opx,opx_liq,T_C,alr,MLP,43,15,0.03,146.5935581051723,26.59413170814514
opx,opx_liq,T_C,alr,MLP,44,15,0.03,100.83261500826654,34.330865144729614
opx,opx_liq,T_C,alr,MLP,45,15,0.03,107.55549863122296,33.43422770500183
opx,opx_liq,T_C,alr,MLP,46,15,0.03,147.36434361684925,32.153069257736206
