pipeline,track,target,model,feature_set,feature,mean_abs_shap,rank
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_SiO2_MgO,0.7506313920021057,6
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_TiO2_Na2O,0.7318882346153259,7
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_Al2O3_MgO,0.6763850450515747,8
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_SiO2_Al2O3,0.5286720991134644,9
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_Al2O3_CaO,0.5208438038825989,10
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_Na2O,0.42675095796585083,11
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_FeO_total_Na2O,0.39450716972351074,12
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_CaO,0.2317107766866684,13
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_TiO2_Na2O,0.22950129210948944,14
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_Al2O3_Na2O,0.17195701599121094,15
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Al2O3_CaO,0.1586431860923767,16
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_MgO_Na2O,0.15593531727790833,17
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_Al2O3_FeO,0.140866219997406,18
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_TiO2_Al2O3,0.13376079499721527,19
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_SiO2_Na2O,0.13184840977191925,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_CaO_Na2O,0.12086977064609528,21
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_FeO_Na2O,0.11954346299171448,22
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_TiO2_Al2O3,0.10514046251773834,23
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_Al2O3,0.10301744937896729,24
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_SiO2_CaO,0.10220005363225937,25
cpx,cpx_liq,P_kbar,LightGBM,pwlr,Di,0.10178158432245255,26
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_Na2O_K2O,0.09138299524784088,27
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_SiO2_FeO,0.08825615048408508,28
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Al2O3_MnO,0.08817125856876373,29
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_MgO_Na2O,0.08727149665355682,30
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Cr2O3_MnO,0.08276177197694778,31
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_SiO2_TiO2,0.07495921850204468,32
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_TiO2_CaO,0.06958546489477158,33
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_SiO2_K2O,0.06377984583377838,34
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_TiO2_K2O,0.06123480200767517,35
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Al2O3_MgO,0.05915405973792076,36
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_Al2O3_K2O,0.05787867680191994,37
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_TiO2_FeO,0.055201832205057144,38
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_TiO2_MnO,0.05396443232893944,39
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_TiO2_FeO_total,0.052488360553979874,40
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_TiO2_Cr2O3,0.04748847335577011,41
cpx,cpx_liq,P_kbar,LightGBM,pwlr,Fs_cpx,0.04165399819612503,42
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Cr2O3_Na2O,0.0403037890791893,43
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Al2O3_Cr2O3,0.03952069580554962,44
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_MgO,0.03773946315050125,45
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_MnO,0.03724226355552673,46
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_FeO_total,0.036053918302059174,47
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_MnO_Na2O,0.03521031513810158,48
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Cr2O3_CaO,0.03436007350683212,49
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_MnO_MgO,0.03222955763339996,50
cpx,cpx_liq,P_kbar,LightGBM,pwlr,liq_Mg_num,0.03132525086402893,51
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_FeO_K2O,0.031261809170246124,52
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_MnO_CaO,0.0303200576454401,53
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_FeO_total_MgO,0.030126230791211128,54
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_FeO_CaO,0.029343735426664352,55
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_TiO2_MgO,0.028432706370949745,56
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_TiO2,0.028123751282691956,57
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_FeO_total_MnO,0.026864835992455482,58
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Al2O3_FeO_total,0.02604144997894764,59
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_CaO_K2O,0.025991398841142654,60
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_MgO_CaO,0.0252834539860487,61
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_FeO_total_CaO,0.025218114256858826,62
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_SiO2_Cr2O3,0.023299571126699448,63
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_MgO_K2O,0.02296570874750614,64
cpx,cpx_liq,P_kbar,LightGBM,pwlr,En_cpx,0.02275758609175682,65
cpx,cpx_liq,P_kbar,LightGBM,pwlr,Aeg,0.021027734503149986,66
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Cr2O3_FeO_total,0.02002147026360035,67
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_TiO2_CaO,0.017592960968613625,68
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_TiO2_MgO,0.017448335886001587,69
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_FeO_MgO,0.012961282394826412,70
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Cr2O3_MgO,0.00958204735070467,71
cpx,cpx_liq,P_kbar,LightGBM,pwlr,Mg_num_cpx,0.00865632388740778,72
cpx,cpx_only,T_C,ERT,pwlr,Di,28.944578170776367,1
cpx,cpx_only,T_C,ERT,pwlr,En_cpx,23.59367561340332,2
cpx,cpx_only,T_C,ERT,pwlr,Mg_num_cpx,10.513284683227539,3
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_CaO,9.185598373413086,4
cpx,cpx_only,T_C,ERT,pwlr,pwlr_MgO_CaO,8.939213752746582,5
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Al2O3_CaO,7.213119029998779,6
cpx,cpx_only,T_C,ERT,pwlr,Fs_cpx,7.167120933532715,7
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Al2O3_FeO_total,6.683438777923584,8
cpx,cpx_only,T_C,ERT,pwlr,pwlr_FeO_total_Na2O,6.0498127937316895,9
cpx,cpx_only,T_C,ERT,pwlr,pwlr_FeO_total_MgO,5.954806804656982,10
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Cr2O3_FeO_total,5.276790142059326,11
cpx,cpx_only,T_C,ERT,pwlr,pwlr_CaO_Na2O,4.917514801025391,12
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_FeO_total,4.687931060791016,13
cpx,cpx_only,T_C,ERT,pwlr,pwlr_TiO2_Na2O,4.33077335357666,14
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_MgO,4.132169723510742,15
cpx,cpx_only,T_C,ERT,pwlr,pwlr_TiO2_Al2O3,3.946937084197998,16
cpx,cpx_only,T_C,ERT,pwlr,CaTs,3.6518683433532715,17
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Cr2O3_CaO,3.5591022968292236,18
cpx,cpx_only,T_C,ERT,pwlr,Jd,3.1689555644989014,19
cpx,cpx_only,T_C,ERT,pwlr,pwlr_MnO_Na2O,2.762009620666504,20
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_Al2O3,2.723184108734131,21
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Al2O3_MnO,2.672757863998413,22
cpx,cpx_only,T_C,ERT,pwlr,pwlr_TiO2_Cr2O3,2.5709619522094727,23
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_MnO,2.2827885150909424,24
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_Na2O,2.2268147468566895,25
cpx,cpx_only,T_C,ERT,pwlr,pwlr_MnO_MgO,2.207989454269409,26
cpx,cpx_only,T_C,ERT,pwlr,pwlr_TiO2_MgO,1.8818342685699463,27
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Al2O3_Na2O,1.8625764846801758,28
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Cr2O3_MnO,1.8554044961929321,29
cpx,cpx_only,T_C,ERT,pwlr,pwlr_FeO_total_CaO,1.6899809837341309,30
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_TiO2,1.5193166732788086,31
cpx,cpx_only,T_C,ERT,pwlr,pwlr_SiO2_Cr2O3,1.4033275842666626,32
cpx,cpx_only,T_C,ERT,pwlr,pwlr_MnO_CaO,1.1983280181884766,33
cpx,cpx_only,T_C,ERT,pwlr,pwlr_Cr2O3_MgO,1.1731804609298706,34
cpx,cpx_only,T_C,ERT,pwlr,pwlr_FeO_total_MnO,1.0966724157333374,35
cpx,cpx_only,T_C,ERT,pwlr,pwlr_TiO2_CaO,1.0915309190750122,36
cpx,cpx_only,T_C,ERT,pwlr,pwlr_MgO_Na2O,1.0822207927703857,37
