pipeline,model,feature_set,track,target,rmse_point,rmse_seed42,rmse_seed_std,rmse_ci_lo,rmse_ci_hi,ci_half_width,n_test,ci_source
opx,LightGBM,raw,opx_only,T_C,152.10082110131157,150.92428743383365,0.9191623930230244,124.44178424250391,174.20701085758714,24.88261330754161,190,bootstrap_n500_seed42
opx,ElasticNet,raw,opx_only,T_C,161.44341013521057,161.44341013521057,0.0,139.87451800145692,182.6212678355915,21.373374917067295,190,bootstrap_n500_seed42
opx,MLP,raw,opx_only,T_C,154.74433709192013,152.09370838204325,3.0843790525496444,129.23049133872954,173.7912184824579,22.280363571864186,190,bootstrap_n500_seed42
opx,RF,alr,opx_only,T_C,155.87241129196346,156.34193286791898,0.5950786004670481,131.84454238237817,180.16188165960975,24.15866963861579,190,bootstrap_n500_seed42
opx,ERT,alr,opx_only,T_C,169.21693018912634,167.56149126118055,0.787001417518533,140.4022254025606,195.29912779689835,27.44845119716888,190,bootstrap_n500_seed42
opx,XGB,alr,opx_only,T_C,147.35094757863135,148.51963112068918,1.3593973711143246,122.21240696398077,173.61550580973298,25.701549422876106,190,bootstrap_n500_seed42
opx,GB,alr,opx_only,T_C,148.44211222306242,148.44211222306242,0.0,121.27968451601527,171.8778041083694,25.299059796177062,190,bootstrap_n500_seed42
opx,CatBoost,alr,opx_only,T_C,154.6630113635914,153.7270720421567,1.9635763475473689,126.7692270544804,178.93131338719238,26.08104316635599,190,bootstrap_n500_seed42
opx,LightGBM,alr,opx_only,T_C,146.6274772463645,147.98216692463086,0.5877074458934813,121.1917901365225,170.0012359122219,24.404722887849694,190,bootstrap_n500_seed42
opx,ElasticNet,alr,opx_only,T_C,172.3240765068681,172.3240765068681,0.0,151.1696709404277,193.8378753652644,21.334102212418358,190,bootstrap_n500_seed42
opx,MLP,alr,opx_only,T_C,179.27604575215665,187.0875290965652,4.412035916486524,161.50664451130567,213.0126765463497,25.753016017522015,190,bootstrap_n500_seed42
opx,RF,pwlr,opx_only,T_C,151.68787608918848,152.03803894431383,0.9294097175271602,126.81837603661921,175.72108351910154,24.451353741241164,190,bootstrap_n500_seed42
opx,ERT,pwlr,opx_only,T_C,159.3470034456107,158.7682524348852,0.950355044654582,131.71414729696292,185.82257726954742,27.05421498629225,190,bootstrap_n500_seed42
opx,XGB,pwlr,opx_only,T_C,155.03506347939788,157.42162230023015,1.7409214654075833,131.7003799290684,183.20852664613312,25.754073358532366,190,bootstrap_n500_seed42
opx,GB,pwlr,opx_only,T_C,164.95764606107355,164.95764606107355,0.0,139.50658282049673,190.01716020098132,25.255288690242296,190,bootstrap_n500_seed42
opx,CatBoost,pwlr,opx_only,T_C,154.9619365947945,154.99613924437068,2.516050416038401,129.79153981187724,179.70646769319075,24.95746394065675,190,bootstrap_n500_seed42
opx,LightGBM,pwlr,opx_only,T_C,151.48678840063445,151.9982029252617,1.06621905191359,126.8910982155054,177.35565417151284,25.232277978003722,190,bootstrap_n500_seed42
opx,ElasticNet,pwlr,opx_only,T_C,170.63253534764343,170.63253534764343,0.0,148.5247217587271,193.3136103454003,22.39444429333659,190,bootstrap_n500_seed42
opx,MLP,pwlr,opx_only,T_C,168.40087356641305,169.3974713266843,4.4323090286013125,144.46278496808043,195.01016374791618,25.273689389917877,190,bootstrap_n500_seed42
opx,TabPFN,raw,opx_only,T_C,150.16557811887384,152.68144227872833,1.3661380274144506,122.17696970112227,181.90805141741998,29.865540858148854,190,bootstrap_n500_seed42_tabpfn
opx,RF,raw,opx_only,P_kbar,12.178800553851447,12.25934606081169,0.0782339391682198,9.381047089948382,15.243812604196236,2.9313827571239273,190,bootstrap_n500_seed42
opx,ERT,raw,opx_only,P_kbar,12.13712305917634,12.102255702827854,0.0728690814601355,9.256796125647838,14.94828952617951,2.8457467002658356,190,bootstrap_n500_seed42
opx,XGB,raw,opx_only,P_kbar,11.800378720220788,11.694452745544185,0.0701530708438936,8.790399171892169,14.713860266135491,2.961730547121661,190,bootstrap_n500_seed42
opx,GB,raw,opx_only,P_kbar,11.78393254859307,11.78393254859307,0.0,8.855671599634325,14.881477222609185,3.0129028114874297,190,bootstrap_n500_seed42
opx,CatBoost,raw,opx_only,P_kbar,11.446908632984838,11.618123774518436,0.1621348607184732,8.486439506267649,14.736097048190107,3.124828770961229,190,bootstrap_n500_seed42
opx,LightGBM,raw,opx_only,P_kbar,11.797613092437173,11.759372339315046,0.0331787208667121,8.806369673341251,15.013263687857641,3.103447007258195,190,bootstrap_n500_seed42
opx,ElasticNet,raw,opx_only,P_kbar,13.260640816734677,13.260640816734675,0.0,10.36449083822658,16.228114794826215,2.9318119782998178,190,bootstrap_n500_seed42
opx,MLP,raw,opx_only,P_kbar,13.43246847813987,13.545528139663277,0.6602239507373959,10.370472864125986,16.301288957386017,2.9654080466300154,190,bootstrap_n500_seed42
opx,RF,alr,opx_only,P_kbar,11.073327265948745,11.10107032422439,0.0875445230398849,8.02977934297339,14.40840663765115,3.1893136473388806,190,bootstrap_n500_seed42
opx,ERT,alr,opx_only,P_kbar,10.975914484547143,11.089994665435292,0.1059504710655094,8.360783953491108,14.036756508402297,2.8379862774555944,190,bootstrap_n500_seed42
opx,XGB,alr,opx_only,P_kbar,10.797399490106098,10.590686093279974,0.12920423719206,7.4259827714925,13.844823068002587,3.209420148255043,190,bootstrap_n500_seed42
opx,GB,alr,opx_only,P_kbar,11.809735279814351,11.809735279814351,0.0,8.810590680420919,15.174385264748977,3.181897292164029,190,bootstrap_n500_seed42
opx,CatBoost,alr,opx_only,P_kbar,11.80532805209953,11.95646152384662,0.2508006729936765,8.806946532854475,14.85401116771342,3.0235323174294724,190,bootstrap_n500_seed42
opx,LightGBM,alr,opx_only,P_kbar,11.909175910461958,11.728056442848887,0.1417476609870898,8.683582805020224,15.22791163787506,3.272164416427418,190,bootstrap_n500_seed42
opx,ElasticNet,alr,opx_only,P_kbar,13.287063103294065,13.287063103294065,0.0,10.32518267978106,16.526165548948367,3.1004914345836534,190,bootstrap_n500_seed42
opx,MLP,alr,opx_only,P_kbar,11.816971100122704,12.743452113487686,0.7414610369828145,10.353705004829097,14.806810162083794,2.2265525786273486,190,bootstrap_n500_seed42
opx,RF,pwlr,opx_only,P_kbar,10.34735487584552,10.327722797494394,0.0428612996817353,6.895418935366998,13.919779661339085,3.5121803629860433,190,bootstrap_n500_seed42
opx,ERT,pwlr,opx_only,P_kbar,10.879154512682378,10.885709307356297,0.1059428702709813,8.096486694214507,13.834412699752853,2.8689630027691733,190,bootstrap_n500_seed42
opx,XGB,pwlr,opx_only,P_kbar,10.417800865828228,10.201704063434224,0.2799821136859783,7.049130981039846,13.439389833575715,3.195129426267935,190,bootstrap_n500_seed42
opx,GB,pwlr,opx_only,P_kbar,11.22502923362834,11.225029233628339,0.0,8.171641036490492,14.620455899404337,3.224407431456923,190,bootstrap_n500_seed42
opx,CatBoost,pwlr,opx_only,P_kbar,11.006955534100396,11.019120556806822,0.1684123347294707,8.13207807576767,14.081983495125975,2.974952709679153,190,bootstrap_n500_seed42
opx,LightGBM,pwlr,opx_only,P_kbar,10.899476512495454,10.917548603110205,0.0972707616723694,7.535092880932799,14.632344761369819,3.5486259402185096,190,bootstrap_n500_seed42
opx,ElasticNet,pwlr,opx_only,P_kbar,13.146659441245522,13.14665944124552,0.0,10.144279725791392,16.439671121060616,3.147695697634612,190,bootstrap_n500_seed42
opx,MLP,pwlr,opx_only,P_kbar,11.39010831978944,11.935439686369369,1.11142771975768,9.251960227999742,14.250170343804518,2.499105057902388,190,bootstrap_n500_seed42
opx,TabPFN,raw,opx_only,P_kbar,12.515637938682628,12.687095063756098,0.1138516236219161,9.9659819356028,15.466144538193339,2.7500813012952694,190,bootstrap_n500_seed42_tabpfn
