regime,T_obs,T_pred,T_residual,P_obs,P_pred,P_residual
deep_crustal_MASH,1250.0,1249.514779014808,-0.48522098519197243,8.9999997615814,5.90164746767153,-3.09835229390987
deep_crustal_MASH,1270.0,1287.7297432477153,17.729743247715305,8.9999997615814,8.821517217577243,-0.1784825440041562
deep_crustal_MASH,1295.0,1273.1513645470807,-21.848635452919325,12.999999523163,13.441822640541307,0.4418231173783074
deep_crustal_MASH,1225.0,1235.2265100516747,10.226510051674722,8.9999997615814,8.627758946136401,-0.3722408154449983
lithospheric_mantle,1330.0,1343.567129701795,13.567129701795011,16.000000238419002,14.383660433073814,-1.6163398053451878
deep_crustal_MASH,1260.0,1274.5972085106025,14.597208510602513,11.000000238419002,10.358685328572081,-0.6413149098469209
lithospheric_mantle,1350.0,1344.8203717877996,-5.179628212200441,16.000000238419002,16.96084886249645,0.9608486240774496
lithospheric_mantle,1345.0,1346.7963272488093,1.796327248809348,16.000000238419002,14.49066440768445,-1.5093358307345515
deep_crustal_MASH,1285.0,1284.142273878957,-0.8577261210430152,12.999999523163,13.781532870250532,0.7815333470875316
lithospheric_mantle,1340.0,1300.0675100841415,-39.93248991585847,16.000000238419002,15.123835067732264,-0.8761651706867379
deep_crustal_MASH,1250.0,1203.5956036354191,-46.40439636458086,8.9999997615814,7.7793043156855095,-1.22069544589589
lithospheric_mantle,1480.0,1384.0658572001623,-95.93414279983767,24.000000953674,21.05937037149539,-2.94063058217861
lithospheric_mantle,1500.0,1408.4374767578868,-91.56252324211323,24.000000953674,20.520303643610955,-3.4796973100630453
deep_crustal_MASH,1245.0,1313.758747318371,68.75874731837098,13.0,13.789556776423915,0.7895567764239146
lithospheric_mantle,1473.0,1454.7360418600963,-18.263958139903707,15.0,7.634605049344365,-7.365394950655635
lithospheric_mantle,1495.0,1355.8785273861872,-139.12147261381278,20.0,6.6054040851303295,-13.39459591486967
lithospheric_mantle,1395.0,1271.7291779793215,-123.27082202067845,15.0,6.305869210863301,-8.694130789136699
deep_crustal_MASH,1370.0,1351.888758866602,-18.111241133397925,10.0,9.151694624013786,-0.8483053759862145
deep_crustal_MASH,1349.0,1351.2970404747916,2.297040474791629,10.0,10.026362523518852,0.026362523518852043
deep_crustal_MASH,1411.0,1380.5529793078797,-30.447020692120304,10.0,4.508382990179709,-5.491617009820291
deep_crustal_MASH,1344.0,1325.3693575651555,-18.630642434844503,10.0,9.803507580758254,-0.19649241924174632
deep_crustal_MASH,1381.0,1335.1707550362273,-45.82924496377268,10.0,7.213034037483833,-2.7869659625161667
deep_crustal_MASH,1325.0,1301.4762726998415,-23.523727300158498,10.0,9.81803275511107,-0.18196724488893068
deep_crustal_MASH,1363.0,1340.4482056782692,-22.551794321730767,10.0,9.131610100513326,-0.8683898994866741
deep_crustal_MASH,1349.0,1349.6118206656085,0.6118206656085476,10.0,11.229425750106481,1.229425750106481
deep_crustal_MASH,1371.0,1375.6012662045384,4.601266204538433,10.0,12.4889699160034,2.4889699160034002
deep_crustal_MASH,1355.0,1346.0972593118076,-8.902740688192353,10.0,10.548584070810568,0.548584070810568
deeper_mantle,1600.0,1500.8497905065242,-99.15020949347581,30.0,25.207336891209643,-4.792663108790357
deeper_mantle,1560.0,1497.5187420049313,-62.481257995068745,30.0,26.30596548057249,-3.694034519427511
deeper_mantle,1530.0,1464.2121986964294,-65.78780130357063,30.0,32.61442997557739,2.614429975577387
deeper_mantle,1560.0,1484.5181120865923,-75.48188791340772,30.0,34.04693289564566,4.046932895645661
deeper_mantle,1550.0,1486.080880892745,-63.91911910725503,30.0,33.14874804109198,3.1487480410919773
deep_crustal_MASH,1380.0,1377.2999111285612,-2.7000888714387656,10.0,10.519096974893108,0.5190969748931078
deep_crustal_MASH,1371.0,1350.2287496317026,-20.771250368297387,10.0,10.99184168140134,0.9918416814013398
deep_crustal_MASH,1160.0,1131.4535032575004,-28.546496742499585,12.999999523163,11.64945790429859,-1.3505416188644102
deep_crustal_MASH,1162.0,1134.8827474821264,-27.117252517873567,12.999999523163,10.908428500520042,-2.091571022642958
deep_crustal_MASH,1185.0,1144.7109702457249,-40.289029754275134,12.999999761581499,11.36531339641054,-1.6346863651709587
