pipeline,track,target,feature_set,model,seed,winner,form,regime,n,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,delta_lo,delta_hi
cpx,cpx_only,T_C,pwlr,ERT,52,none,A,lithospheric_mantle,213,139.9165938384768,109.81854684206847,167.65122748039863,167.759266688848,148.09739128456124,186.86934310242108,-27.842672850371173,-43.836711103604635,-14.737980288087442
cpx,cpx_only,T_C,pwlr,ERT,52,none,A,deeper_mantle,142,188.97778637848137,161.66266085940435,215.16782037710277,194.61488994747597,169.12858826921445,218.96735866060794,-5.637103568994604,-25.744267328521424,13.078621967401453
cpx,cpx_only,T_C,pwlr,ERT,52,none,A,ALL,784,127.37340913227504,115.72441527866712,139.50213079688854,137.61963462163433,127.16422628408752,148.74041249569186,-10.24622548935929,-17.09439257375055,-3.8265015431281593
cpx,cpx_only,T_C,pwlr,ERT,52,none,B,shallow_crustal,236,89.34781927970253,78.36853751784174,100.51245455901233,88.0261297529914,77.14922040448005,99.15724079946243,1.3216895267111397,0.6355169753945216,2.162117380554778
cpx,cpx_only,T_C,pwlr,ERT,52,none,B,deep_crustal_MASH,193,90.896282759118,75.22671931349251,111.71814055413472,88.3277003507112,71.74176291130213,109.93111437150708,2.5685824084067974,1.4723224360909513,4.05319132483654
cpx,cpx_only,T_C,pwlr,ERT,52,none,B,lithospheric_mantle,213,139.9165938384768,109.81854684206847,167.65122748039863,139.01354948827955,110.70342725963792,164.47616518116922,0.9030443501972627,-3.7217381263016054,4.870165356464492
cpx,cpx_only,T_C,pwlr,ERT,52,none,B,deeper_mantle,142,188.97778637848137,161.66266085940435,215.16782037710277,213.49816812316905,186.866431641937,238.09622720082464,-24.520381744687683,-30.857419576965775,-18.14325732472212
cpx,cpx_only,T_C,pwlr,ERT,52,none,B,ALL,784,127.37340913227504,115.72441527866712,139.50213079688854,133.26338296128813,121.83107131182358,145.16431665378005,-5.889973829013087,-8.372714259355075,-3.4355826726902925
cpx,cpx_only,T_C,pwlr,ERT,53,none,A,shallow_crustal,236,89.03697063043727,78.2546478275268,100.25770965019856,87.46989239011671,76.14979473636878,98.63519424486577,1.567078240320555,-0.920213654020321,4.070328081697819
cpx,cpx_only,T_C,pwlr,ERT,53,none,A,deep_crustal_MASH,193,90.55144129677775,74.7336531058531,111.71006453082491,92.10237828200917,75.50903684933132,113.48836497741301,-1.5509369852314165,-3.4711326951831856,0.5776956669879453
cpx,cpx_only,T_C,pwlr,ERT,53,none,A,lithospheric_mantle,213,138.99179248406114,109.59605918061521,166.29409797738387,170.36570212851558,151.30660830276764,189.12964651868364,-31.373909644454443,-47.55624205778461,-17.852160197264467
cpx,cpx_only,T_C,pwlr,ERT,53,none,A,deeper_mantle,142,188.72715113160018,161.24219770609662,214.91006233047824,193.88989695382898,169.18848772825032,217.76880336082476,-5.1627458222288,-24.815141788636954,12.774642608318596
cpx,cpx_only,T_C,pwlr,ERT,53,none,A,ALL,784,126.90416646959197,115.29207924444971,138.87946651958885,138.15143259144727,127.88919865872514,148.99215244323727,-11.247266121855304,-17.960941374233414,-4.846225195363425
cpx,cpx_only,T_C,pwlr,ERT,53,none,B,shallow_crustal,236,89.03697063043727,78.2546478275268,100.25770965019856,88.87552917716587,77.94847417381597,100.13746533801414,0.1614414532713937,-0.5405256745516134,1.0088284558262282
cpx,cpx_only,T_C,pwlr,ERT,53,none,B,deep_crustal_MASH,193,90.55144129677775,74.7336531058531,111.71006453082491,88.64853298620191,71.96396184478677,110.04952552756347,1.9029083105758389,0.8471907994578729,3.317996814943009
