pipeline,track,target,model,feature_set,form,regime,pre_rmse_mean,pre_rmse_std,pre_rmse_min,pre_rmse_max,pre_rmse_count,post_rmse_mean,post_rmse_std,post_rmse_min,post_rmse_max,post_rmse_count,delta_rmse_mean,delta_rmse_std,delta_rmse_min,delta_rmse_max,delta_rmse_count
opx,opx_liq,P_kbar,MLP,raw,B,lithospheric_mantle,5.718786109556643,0.32534269419982803,5.206757911645586,6.219441015792321,20,5.52524024840718,0.4208034536437586,4.770413900143042,6.155415862202251,20,0.19354586114946254,0.290420122060482,-0.42406363619567866,0.9068713080374566,20
opx,opx_liq,P_kbar,MLP,raw,B,shallow_crustal,3.43761489459809,1.0853410706268347,2.0266196194650345,5.788640503336636,20,4.105798945769114,0.9501066439177586,2.9310600273493423,6.340992766393785,20,-0.6681840511710236,0.4214457890488976,-1.5898877444890815,-0.10354959193302671,20
opx,opx_liq,T_C,ElasticNet,raw,A,ALL,77.06189003628756,0.0,77.06189003628756,77.06189003628756,20,77.63215653312326,0.2720616566241507,77.16895978642394,78.09215603517987,20,-0.5702664968356977,0.27206165662415294,-1.030265998892304,-0.10706975013637532,20
opx,opx_liq,T_C,ElasticNet,raw,A,deep_crustal_MASH,78.46430905099997,0.0,78.46430905099997,78.46430905099997,20,76.9960546281818,0.08762979359826399,76.84778763804097,77.20116878384778,20,1.4682544228181762,0.08762979359826377,1.2631402671521954,1.6165214129590026,20
opx,opx_liq,T_C,ElasticNet,raw,A,deeper_mantle,105.99641300315002,0.0,105.99641300315001,105.99641300315001,20,59.00842923442406,2.218360682640578,54.998990636586,63.10314193496224,20,46.987983768725954,2.218360682640578,42.89327106818777,50.99742236656401,20
opx,opx_liq,T_C,ElasticNet,raw,A,lithospheric_mantle,93.6982941619437,0.0,93.6982941619437,93.6982941619437,20,93.60243226887431,0.15276793174021386,93.42225429614152,93.90923106936675,20,0.09586189306939871,0.15276793174021336,-0.21093690742304716,0.27603986580218987,20
opx,opx_liq,T_C,ElasticNet,raw,A,shallow_crustal,35.32950089738492,0.0,35.32950089738492,35.32950089738492,20,56.665501207985,1.1774779815057521,54.00663281282519,58.829211813963,20,-21.33600031060009,1.177477981505754,-23.49971091657808,-18.67713191544027,20
opx,opx_liq,T_C,ElasticNet,raw,B,ALL,77.06189003628756,0.0,77.06189003628756,77.06189003628756,20,76.44360104670902,0.05896751383704364,76.3568619223806,76.59153811649468,20,0.6182889895785479,0.058967513837046855,0.4703519197928898,0.7050281139069625,20
opx,opx_liq,T_C,ElasticNet,raw,B,deep_crustal_MASH,78.46430905099997,0.0,78.46430905099997,78.46430905099997,20,78.46430905099997,0.0,78.46430905099997,78.46430905099997,20,0.0,0.0,0.0,0.0,20
opx,opx_liq,T_C,ElasticNet,raw,B,deeper_mantle,105.99641300315002,0.0,105.99641300315001,105.99641300315001,20,82.50359704394722,2.497650502850988,79.35931163710109,91.08224999275265,20,23.492815959202794,2.497650502850987,14.91416301039736,26.637101366048924,20
opx,opx_liq,T_C,ElasticNet,raw,B,lithospheric_mantle,93.6982941619437,0.0,93.6982941619437,93.6982941619437,20,95.42551522825497,0.21549658964468832,94.69937910303311,95.71124352342342,20,-1.7272210663112582,0.21549658964468943,-2.0129493614797127,-1.0010849410894025,20
opx,opx_liq,T_C,ElasticNet,raw,B,shallow_crustal,35.32950089738492,0.0,35.32950089738492,35.32950089738492,20,35.3043599761027,0.11243361800802161,34.826682471740554,35.32950089738492,20,0.025140921282218186,0.11243361800802208,0.0,0.5028184256443637,20
opx,opx_only,P_kbar,RF,pwlr,A,ALL,10.34735487584552,0.04286129968173555,10.22950027053493,10.395916434160926,20,6.010816711064183,0.047768412448508914,5.955874261180179,6.111877573673434,20,4.336538164781337,0.056496505872094975,4.210122474136613,4.420194904731368,20
opx,opx_only,P_kbar,RF,pwlr,A,deep_crustal_MASH,6.876575138706377,0.056366060126210774,6.783474878757778,6.993393661742476,20,1.9689889928953874,0.008082841225984651,1.9529482225502568,1.9818850479276968,20,4.90758614581099,0.057745341222939554,4.806449388885253,5.015398587249311,20
opx,opx_only,P_kbar,RF,pwlr,A,deeper_mantle,20.154970644135712,0.09808139264130772,19.940015903429593,20.30814861287363,20,14.495383827638259,0.12788001332083002,14.35113457181405,14.75984758664554,20,5.659586816497454,0.1643987718175561,5.403741090447275,5.9408861805533615,20
opx,opx_only,P_kbar,RF,pwlr,A,lithospheric_mantle,7.582108847158596,0.10111746449359993,7.360636738047661,7.801132658551109,20,3.3542367822523005,0.014659167821638286,3.3372586397432387,3.3854638703478037,20,4.227872064906295,0.09851215317517002,4.009142907590892,4.425972751642419,20
opx,opx_only,P_kbar,RF,pwlr,A,shallow_crustal,7.69277627874919,0.09390721283122512,7.560099012169215,7.912635782746128,20,1.1211446154538431,0.005625902198401176,1.112373690469314,1.1329388437227974,20,6.571631663295347,0.09312086198537525,6.440827472981286,6.781436822452032,20
opx,opx_only,P_kbar,RF,pwlr,B,ALL,10.34735487584552,0.04286129968173555,10.22950027053493,10.395916434160926,20,10.475781714013937,0.16383495443448354,10.26773828591662,10.908308015420879,20,-0.1284268381684172,0.16170794539215252,-0.527138940503546,0.11914100191226318,20
