pipeline,track,target,model,feature_set,seed,aug_n_copies,aug_rel_noise,pre_rmse_all,post_rmse_a,post_rmse_b,ship_a,ship_b,winner,form_a_overall_delta,form_a_max_regime_degr,form_b_overall_delta,form_b_max_regime_degr,form_b_alpha_L,form_b_alpha_R,form_b_a_L,form_b_a_R,form_b_s_L,form_b_s_R
opx,opx_liq,T_C,ElasticNet,raw,50,15,0.03,77.18014920182061,77.65514271048458,76.45499486992891,False,False,none,-0.47499350866397094,20.67306438729439,0.7251543318917015,2.0297342681612207,0.05,0.8300000000000001,935.9715526637756,1429.686664478733,0.5249312994828371,-0.21543298559626542
opx,opx_liq,T_C,ElasticNet,raw,51,15,0.03,77.09575443106374,77.23068368111134,76.42219606156023,False,False,none,-0.13492925004760536,20.159682959312,0.6735583695035103,1.8729501480824524,0.05,0.8300000000000001,941.3721592884878,1426.1716168215405,0.5117709388260985,-0.19204482922868893
opx,opx_liq,T_C,ElasticNet,raw,52,15,0.03,77.2739437976022,77.33978498009535,76.56780493742606,False,False,none,-0.06584118249314486,19.669897706904955,0.7061388601761394,1.7881072743242754,0.05,0.8300000000000001,941.4443791509248,1426.9711975147218,0.4348422417335054,-0.19210940793589623
opx,opx_liq,T_C,ElasticNet,raw,53,15,0.03,77.36954432879037,77.80859478485667,76.71703074269323,False,False,none,-0.43905045606629756,20.212843923923515,0.6525135860971432,2.202394165128638,0.05,0.87,941.2112315859919,1457.857058814422,0.43293611841744106,-0.27538373591098503
opx,opx_liq,T_C,ElasticNet,raw,54,15,0.03,77.06110474637427,77.506764972099,76.39489475903987,False,False,none,-0.44566022572473685,21.714416560888615,0.6662099873343976,1.9461742175819978,0.05,0.8300000000000001,937.547271789424,1433.1307094804101,0.5092101469215816,-0.2068361633615334
opx,opx_liq,T_C,ElasticNet,raw,55,15,0.03,77.14860615614215,77.64319082312444,76.4904540333275,False,False,none,-0.4945846669822913,20.798809218494362,0.6581521228146556,1.7198651545459853,0.05,0.8300000000000001,937.4377801046578,1432.4050457571648,0.4425355246059431,-0.18771180418346237
opx,opx_liq,T_C,ElasticNet,raw,56,15,0.03,77.21281458200184,78.08061363641384,76.6020013141891,False,False,none,-0.8677990544120036,22.81905793128964,0.6108132678127447,1.9260477675442615,0.05,0.87,939.4692333418305,1459.652223231398,0.4383628743945907,-0.2457624514820743
opx,opx_liq,T_C,ElasticNet,raw,57,15,0.03,77.36745647126935,78.13143903663811,76.65189335026271,False,False,none,-0.7639825653687637,21.99263867906668,0.7155631210066389,1.8017192309598045,0.05,0.8300000000000001,941.6046961116024,1429.1446172813708,0.41984438038037475,-0.19727759029455288
opx,opx_liq,T_C,ElasticNet,raw,58,15,0.03,77.02025989102903,77.44667933538678,76.44508684274997,False,False,none,-0.42641944435774803,20.94756670629541,0.5751730482790549,1.9468609440193774,0.05,0.87,939.1288749008284,1458.2849990681061,0.4256182917252475,-0.23697004776178757
opx,opx_liq,T_C,ElasticNet,raw,59,15,0.03,77.10339599794501,77.90840324361062,76.38739367924964,False,False,none,-0.8050072456656068,22.820280204638593,0.7160023186953737,1.8786868438513267,0.05,0.8300000000000001,933.272077556737,1430.1525668286033,0.5367633025122892,-0.203418826850138
opx,opx_liq,T_C,ElasticNet,raw,60,15,0.03,77.23416885063,77.85708839085801,76.70659373791419,False,False,none,-0.6229195402280112,21.843369813702658,0.5275751127158088,1.1579195548565195,0.05,0.8300000000000001,937.6261162275874,1427.0960448336095,0.43469186985046226,-0.12732229098289252
opx,opx_liq,T_C,ElasticNet,raw,61,15,0.03,77.20867018070642,77.63821986592073,76.46228443122425,False,False,none,-0.4295496852143117,21.187788722198384,0.7463857494821724,2.129973091557744,0.05,0.8300000000000001,937.5079935623692,1431.6356298072737,0.566347788732879,-0.22940149095255868
opx,opx_only,P_kbar,RF,pwlr,42,15,0.03,12.462824859468626,5.961567346392066,12.45766204776484,True,False,A,6.50125751307656,-2.825529317803492,0.005162811703785408,0.8362331228127644,0.05,0.79,2.802759631696483,23.611798057404513,1.3160468599444417,0.7145850347340311
opx,opx_only,P_kbar,RF,pwlr,43,15,0.03,12.294788111143752,5.948405711788925,12.407891661499487,True,False,A,6.346382399354828,-2.7807995832437706,-0.11310355035573494,1.1854652445984755,0.05,0.8300000000000001,3.0510690380303056,25.272911970190943,0.9126019908739954,0.9714148031405423
opx,opx_only,P_kbar,RF,pwlr,44,15,0.03,12.298903927398895,5.958426690584662,12.348145238593442,True,False,A,6.340477236814233,-2.840396250394533,-0.04924131119454778,1.2754340254794876,0.16999999999999998,0.5900000000000001,6.830078400551372,16.3208280265544,0.4045615899125634,0.4800005833632953
opx,opx_only,P_kbar,RF,pwlr,45,15,0.03,12.119181637127651,5.942101816499516,12.431627136427274,True,False,A,6.177079820628135,-2.6105175790233974,-0.3124454992996224,1.6990141768758598,0.16999999999999998,0.71,7.359584292695722,20.526208925576807,0.2834717860352115,0.7545821575483812
opx,opx_only,P_kbar,RF,pwlr,46,15,0.03,12.432311331702751,5.944116326731872,12.62086203185778,True,False,A,6.488195004970879,-2.988012074794912,-0.1885507001550284,1.5219738515232635,0.21000000000000002,0.87,8.506624228006755,28.30771513737861,0.262401286421186,1.4818626904982382
opx,opx_only,P_kbar,RF,pwlr,47,15,0.03,11.753460317334318,5.935369978329088,11.92794325471822,True,False,A,5.81809033900523,-2.4947426463939415,-0.1744829373839032,1.6361347348222424,0.13,0.5900000000000001,5.900917730016484,16.421313229579074,0.5996458947906269,0.5121531159445175
