pipeline,track,target,feature_set,family,feature_name,importance_mean,importance_std,rank
opx,opx_liq,T_C,pwlr,ERT,liq_Mg_num,-0.5751759626405673,0.17684494822123983,67
opx,opx_liq,T_C,raw,XGB,raw_SiO2,-0.570939460491023,0.21387287359712717,21
opx,opx_liq,T_C,raw,XGB,raw_TiO2,-0.08232472985973657,0.45493956800833424,16
opx,opx_liq,T_C,raw,XGB,raw_Al2O3,-0.09520399050988856,0.20110278302449033,18
opx,opx_liq,T_C,raw,XGB,raw_Cr2O3,-1.390317718939538,0.5478515964286449,24
opx,opx_liq,T_C,raw,XGB,raw_FeO_total,-1.8912898490530268,0.458525801863454,25
opx,opx_liq,T_C,raw,XGB,raw_MnO,-0.09025705315619348,0.38718726522965563,17
opx,opx_liq,T_C,raw,XGB,raw_MgO,1.0921079661522968,0.3812156633456209,7
opx,opx_liq,T_C,raw,XGB,raw_CaO,0.8998816674735508,0.34209947858340245,8
opx,opx_liq,T_C,raw,XGB,raw_Na2O,5.812269313257295,1.177472043805042,4
opx,opx_liq,T_C,raw,XGB,Mg_num,-0.7161514666774785,0.18193975080794475,23
opx,opx_liq,T_C,raw,XGB,Al_IV,0.05311745230145561,0.39460051743239244,14
opx,opx_liq,T_C,raw,XGB,Al_VI,0.23218361636549717,0.2500647279361573,12
opx,opx_liq,T_C,raw,XGB,En_frac,-0.30690016108672113,0.25298743726019624,20
opx,opx_liq,T_C,raw,XGB,Fs_frac,-0.714875153722982,0.1262104432507596,22
opx,opx_liq,T_C,raw,XGB,Wo_frac,0.7229357474697948,0.7129401096592095,10
opx,opx_liq,T_C,raw,XGB,MgTs,-0.009868527447770958,0.10174862393536606,15
opx,opx_liq,T_C,raw,XGB,raw_liq_SiO2,5.963990979757362,1.5832008348256357,3
opx,opx_liq,T_C,raw,XGB,raw_liq_TiO2,0.1062655083288945,0.5973882367982187,13
opx,opx_liq,T_C,raw,XGB,raw_liq_Al2O3,6.153649348153589,1.1314747998299162,2
opx,opx_liq,T_C,raw,XGB,raw_liq_FeO,4.036625124119839,0.6984653730919973,5
opx,opx_liq,T_C,raw,XGB,raw_liq_MgO,57.758349603421514,4.861961423314449,1
opx,opx_liq,T_C,raw,XGB,raw_liq_CaO,1.0983886467586779,0.3341509613763647,6
opx,opx_liq,T_C,raw,XGB,raw_liq_Na2O,-0.25371157248212983,0.31795982806731193,19
opx,opx_liq,T_C,raw,XGB,raw_liq_K2O,0.3250145704409647,0.34135609090746694,11
opx,opx_liq,T_C,raw,XGB,liq_Mg_num,0.8378051448801991,0.32131173241323663,9
opx,opx_liq,T_C,raw,GB,raw_SiO2,-0.49449544485377217,0.13294869201153853,23
opx,opx_liq,T_C,raw,GB,raw_TiO2,0.025808251797634085,0.3338960574519965,15
opx,opx_liq,T_C,raw,GB,raw_Al2O3,0.12309855743049028,0.0865476943035668,12
opx,opx_liq,T_C,raw,GB,raw_Cr2O3,-0.8479533804694036,0.480741819924625,25
opx,opx_liq,T_C,raw,GB,raw_FeO_total,-0.2057957100126231,0.2874060988409236,19
opx,opx_liq,T_C,raw,GB,raw_MnO,0.8705684481612422,0.3544534613033607,7
opx,opx_liq,T_C,raw,GB,raw_MgO,1.7646446297500447,0.45254608140920954,6
opx,opx_liq,T_C,raw,GB,raw_CaO,-0.2804290189757346,0.27600310111093346,21
opx,opx_liq,T_C,raw,GB,raw_Na2O,5.472751690557124,1.217536544177908,4
opx,opx_liq,T_C,raw,GB,Mg_num,-0.1361181240385733,0.034917025217741024,18
opx,opx_liq,T_C,raw,GB,Al_IV,0.032558126632844166,0.19310493227876716,14
opx,opx_liq,T_C,raw,GB,Al_VI,0.023027893107302334,0.10203346687512148,16
opx,opx_liq,T_C,raw,GB,En_frac,-0.21446995822819376,0.10568991462393793,20
opx,opx_liq,T_C,raw,GB,Fs_frac,-0.7293071115808608,0.31407050620602034,24
opx,opx_liq,T_C,raw,GB,Wo_frac,0.4888954741288842,0.541484875690488,9
opx,opx_liq,T_C,raw,GB,MgTs,0.059586003548252366,0.1312092220712227,13
opx,opx_liq,T_C,raw,GB,raw_liq_SiO2,7.830348201333405,1.801889518050735,2
opx,opx_liq,T_C,raw,GB,raw_liq_TiO2,0.17709470900674304,0.5548401514306311,11
opx,opx_liq,T_C,raw,GB,raw_liq_Al2O3,5.6898850412339765,1.3256614775912103,3
opx,opx_liq,T_C,raw,GB,raw_liq_FeO,2.3700262340532112,0.4883129871486847,5
opx,opx_liq,T_C,raw,GB,raw_liq_MgO,68.34384159691919,5.227093733539453,1
opx,opx_liq,T_C,raw,GB,raw_liq_CaO,0.434719107915398,0.11502913930487596,10
opx,opx_liq,T_C,raw,GB,raw_liq_Na2O,-0.40204009764396603,0.21553147332190056,22
opx,opx_liq,T_C,raw,GB,raw_liq_K2O,-0.09934272163287403,0.25350407874762654,17
opx,opx_liq,T_C,raw,GB,liq_Mg_num,0.6416553715520038,0.282695259663146,8
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_TiO2,-0.029036316229274918,0.029137849055246218,34
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_Al2O3,-0.04719633944696398,0.06674219445992424,37
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_Cr2O3,-0.1875557200808963,0.17935407532794084,52
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_FeO_total,-0.5480194818621719,0.1768382639745676,66
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_MnO,-0.07848579917760716,0.04027531879576453,41
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_MgO,-0.14170915836419623,0.08622941335914132,47
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_CaO,-0.08683494177587078,0.21805911476320503,43
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_SiO2_Na2O,0.3184493376669664,0.16536436525624712,11
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_TiO2_Al2O3,-0.32218541222158165,0.2612816484208893,60
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_TiO2_Cr2O3,-0.3806680018894383,0.17538618727932323,61
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_TiO2_FeO_total,-0.0736216808151184,0.032233063952712644,39
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_TiO2_MnO,-0.6895177311244638,0.3135564961598136,69
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_TiO2_MgO,0.49719810251419644,0.11626285153036424,9
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_TiO2_CaO,-0.6975199576984075,0.339927376167331,70
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_TiO2_Na2O,0.13155836653758896,0.3855012437492529,17
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Al2O3_Cr2O3,0.024026170064676933,0.04495275130228103,26
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Al2O3_FeO_total,-0.15495873977926777,0.11365340107314727,48
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Al2O3_MnO,-0.10109329360673343,0.05560209566792557,44
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Al2O3_MgO,0.00671594717179147,0.03841110592551327,30
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Al2O3_CaO,0.03353717590816814,0.03579012338373457,23
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Al2O3_Na2O,0.6314184253906163,0.22517980478226454,8
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Cr2O3_FeO_total,-0.20581781847786118,0.07153239493657572,55
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Cr2O3_MnO,0.18247860056050486,0.11853246996925756,14
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Cr2O3_MgO,-0.18683395395487706,0.1333597458294319,50
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Cr2O3_CaO,0.02460804437937867,0.09245727734695336,25
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_Cr2O3_Na2O,-0.021764788871420394,0.04706280241522044,31
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_FeO_total_MnO,-0.6163959356107043,0.2347740153428668,67
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_FeO_total_MgO,-0.6655668434999213,0.19242131973428253,68
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_FeO_total_CaO,-1.0674143058503298,0.2226885966458803,72
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_FeO_total_Na2O,0.47240902159326553,0.5581353740706104,10
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_MnO_MgO,-0.11927779399968089,0.05156294836011879,46
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_MnO_CaO,0.05418966455249077,0.036036119880607106,21
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_MnO_Na2O,-0.04415978520983117,0.07538385129859725,36
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_MgO_CaO,-0.07704208323484849,0.11535298090049763,40
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_MgO_Na2O,0.048075307818228906,0.11554588672753842,22
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_CaO_Na2O,0.24696098317823784,0.24273274212824641,12
opx,opx_liq,T_C,pwlr,CatBoost,Mg_num,-0.27595207112254555,0.06400279065946829,58
opx,opx_liq,T_C,pwlr,CatBoost,Al_IV,-0.040678486951008355,0.17891918509832963,35
opx,opx_liq,T_C,pwlr,CatBoost,Al_VI,0.0673025774921598,0.10640007523050597,20
opx,opx_liq,T_C,pwlr,CatBoost,En_frac,-0.4023653903973809,0.17525957676119897,63
opx,opx_liq,T_C,pwlr,CatBoost,Fs_frac,-0.38233337132648443,0.11071007326255022,62
opx,opx_liq,T_C,pwlr,CatBoost,Wo_frac,-0.10312129463254038,0.31710456291916606,45
opx,opx_liq,T_C,pwlr,CatBoost,MgTs,0.13454656868980236,0.123053365779043,16
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_SiO2_TiO2,-0.22289510041668664,0.05588509613318364,56
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_SiO2_Al2O3,0.7646470134150782,0.3642823883296086,6
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_SiO2_FeO,1.4745668022863427,0.3011742240615236,5
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_SiO2_MgO,21.774347178829192,2.6157373407914117,1
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_SiO2_CaO,-0.026142682361219017,0.07675707909046856,33
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_SiO2_Na2O,0.012784154859701857,0.11656832304668631,28
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_SiO2_K2O,-0.1874617549794763,0.15324193054122953,51
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_TiO2_Al2O3,0.10589785031445516,0.056677244723846124,19
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_TiO2_FeO,-0.27736148549643647,0.043819764107130905,59
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_TiO2_MgO,-0.4094965933056251,0.17333676118829244,64
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_TiO2_CaO,0.014720127371244729,0.08460768304130666,27
opx,opx_liq,T_C,pwlr,CatBoost,pwlr_liq_TiO2_Na2O,-0.02514613194045694,0.09964031568159648,32
