track,target,model,feature_set,form,seed,regime,n,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,delta_lo,delta_hi
opx_liq,T_C,ElasticNet,raw,B,44,shallow_crustal,47,35.07790598519219,27.656348732453694,43.36455055496107,35.07790598519219,27.656348732453694,43.36455055496107,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,44,deep_crustal_MASH,61,78.54082829294634,30.250564338152728,111.77076803264256,78.54082829294634,30.250564338152728,111.77076803264256,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,44,lithospheric_mantle,58,94.00447036306677,79.68103449946182,108.95337432420541,95.8152174862087,80.476632973538,111.72810358805708,-1.8107471231419225,-5.036897627658582,0.3708549649741439
opx_liq,T_C,ElasticNet,raw,B,44,deeper_mantle,8,107.00545084695057,79.73371387316875,131.19682061224367,81.39399684661858,65.30030122191077,96.06754452587019,25.61145400033199,12.935875899298026,35.94591651981389
opx_liq,T_C,ElasticNet,raw,B,44,ALL,174,77.24636056157284,61.92241849091707,92.9339240983592,76.54883740076397,61.64455659758371,92.07226516753072,0.6975231608088706,-0.8909596522449181,2.622812596042331
opx_liq,T_C,ElasticNet,raw,A,45,shallow_crustal,47,34.97061651713868,27.57796830579968,43.29581636290091,58.64979079383254,51.784468210222705,67.4675212017712,-23.679174276693857,-26.91853027720161,-19.548768770708175
opx_liq,T_C,ElasticNet,raw,A,45,deep_crustal_MASH,61,78.49774950576868,30.39998241360769,111.65798300945984,77.05959992372534,33.5137164726116,107.8415673368406,1.4381495820433372,-3.0953508870549884,3.971205969234205
opx_liq,T_C,ElasticNet,raw,A,45,lithospheric_mantle,58,93.90548462771609,79.5351558881558,108.86803814573481,94.10961031080839,79.52178822980659,109.43495512048618,-0.2041256830923004,-3.307118033303604,3.527812034680221
opx_liq,T_C,ElasticNet,raw,A,45,deeper_mantle,8,107.14997298149878,79.72129023663534,131.32866601396063,55.526383611093316,47.844320542270516,62.91860026293318,51.62358937040546,28.69172348147095,71.83674612063848
opx_liq,T_C,ElasticNet,raw,A,45,ALL,174,77.1869250150112,61.89548685809383,92.8441900137721,78.13372431739839,64.10813003977505,92.61291624302001,-0.9467993023871912,-4.583460366104786,2.712782281139415
opx_liq,T_C,ElasticNet,raw,B,45,shallow_crustal,47,34.97061651713868,27.57796830579968,43.29581636290091,34.97061651713868,27.57796830579968,43.29581636290091,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,45,deep_crustal_MASH,61,78.49774950576868,30.39998241360769,111.65798300945984,78.49774950576868,30.39998241360769,111.65798300945984,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,45,lithospheric_mantle,58,93.90548462771609,79.5351558881558,108.86803814573481,95.84102148355011,80.50812338961582,111.7188753054226,-1.935536855834016,-5.362802366500369,0.37712026428673184
opx_liq,T_C,ElasticNet,raw,B,45,deeper_mantle,8,107.14997298149878,79.72129023663534,131.32866601396063,79.84327700840966,64.31681162527178,93.69413437770848,27.30669597308912,13.757331380267047,38.43790023062925
opx_liq,T_C,ElasticNet,raw,B,45,ALL,174,77.1869250150112,61.89548685809383,92.8441900137721,76.45570945567557,61.48294506439748,91.9658433576754,0.7312155593356238,-0.9526078958909828,2.7782652613753585
opx_liq,T_C,ElasticNet,raw,A,46,shallow_crustal,47,35.004200622309924,27.61873727962725,43.25367662651099,54.83317648951307,47.99593057693522,63.51601720122126,-19.828975867203148,-22.743929287029555,-16.075505837017435
opx_liq,T_C,ElasticNet,raw,A,46,deep_crustal_MASH,61,78.47082116389467,30.276320974641163,111.6707000421653,76.96434328288176,32.906776956868825,107.85567653554088,1.5064778810129127,-2.7892114737449294,3.9194332310599056
opx_liq,T_C,ElasticNet,raw,A,46,lithospheric_mantle,58,93.82766603185334,79.38516864225625,108.83816245656428,93.70835300861052,79.25733582309144,108.90464269871518,0.11931302324282456,-2.880491402185638,3.6688532431771894
opx_liq,T_C,ElasticNet,raw,A,46,deeper_mantle,8,106.129096144229,78.91348211436747,130.20095655152477,54.86087596006554,47.766830804609235,61.721413948702136,51.268220184163454,26.834211760017954,73.11984714308903
opx_liq,T_C,ElasticNet,raw,A,46,ALL,174,77.08497887423863,61.796600401956,92.75871493346447,77.16374919672153,62.93471185288134,91.79657446541663,-0.07877032248289595,-3.4419185236742234,3.3057509973308856
opx_liq,T_C,ElasticNet,raw,B,46,shallow_crustal,47,35.004200622309924,27.61873727962725,43.25367662651099,35.004200622309924,27.61873727962725,43.25367662651099,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,46,deep_crustal_MASH,61,78.47082116389467,30.276320974641163,111.6707000421653,78.47082116389467,30.276320974641163,111.6707000421653,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,46,lithospheric_mantle,58,93.82766603185334,79.38516864225625,108.83816245656428,95.77872409390109,80.35665900616537,111.80723748958097,-1.9510580620477498,-5.374601903301942,0.3512015258257725
opx_liq,T_C,ElasticNet,raw,B,46,deeper_mantle,8,106.129096144229,78.91348211436747,130.20095655152477,79.41404457496594,64.41737431666002,93.14600332632301,26.715051569263053,13.194905226781001,37.7797860172855
opx_liq,T_C,ElasticNet,raw,B,46,ALL,174,77.08497887423863,61.796600401956,92.75871493346447,76.40357578253743,61.412786282931286,91.98318639016377,0.6814030917011991,-0.9809285431288799,2.6897405027760817
opx_liq,T_C,ElasticNet,raw,A,47,shallow_crustal,47,34.909939235396095,27.599599373348664,43.20492811638378,54.66473759634256,47.74981439134495,63.337201321516865,-19.754798360946467,-22.64574059505942,-16.080149036059044
opx_liq,T_C,ElasticNet,raw,A,47,deep_crustal_MASH,61,78.57134662614622,30.346994976068622,111.76734228653059,77.02929445490014,33.22841193171563,107.83410274442345,1.542052171246084,-3.0115407181305587,4.059344343060832
opx_liq,T_C,ElasticNet,raw,A,47,lithospheric_mantle,58,94.26473527825229,79.9532531406194,109.22694508714555,94.15601135282913,79.6742814003947,109.32965087136243,0.10872392542316334,-2.9000348440682253,3.679120575619508
opx_liq,T_C,ElasticNet,raw,A,47,deeper_mantle,8,108.15385849026508,81.28624736537047,131.9787388319582,60.8740927048839,51.49005364718521,69.31630717978524,47.27976578538118,27.424370863031115,64.57429900976263
opx_liq,T_C,ElasticNet,raw,A,47,ALL,174,77.41575783671563,62.13033924100082,93.12445543032136,77.54223993343628,63.55220518246823,92.08567493963825,-0.12648209672065036,-3.4254017990095607,3.1776035074086364
opx_liq,T_C,ElasticNet,raw,B,47,shallow_crustal,47,34.909939235396095,27.599599373348664,43.20492811638378,34.909939235396095,27.599599373348664,43.20492811638378,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,47,deep_crustal_MASH,61,78.57134662614622,30.346994976068622,111.76734228653059,78.57134662614622,30.346994976068622,111.76734228653059,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,47,lithospheric_mantle,58,94.26473527825229,79.9532531406194,109.22694508714555,96.11624034761266,80.9182902853791,112.00366153898428,-1.8515050693603712,-5.091110222795874,0.34553342796998177
opx_liq,T_C,ElasticNet,raw,B,47,deeper_mantle,8,108.15385849026508,81.28624736537047,131.9787388319582,82.32832388238025,66.9744426702405,96.34894420925563,25.825534607884833,12.93761952454051,36.493597715296346
