sample_id,tectonic_setting,KD_FeMg_opx_cpx,equilibrium_flag,delta_ours_vs_putirka_twopx_eq36,delta_ours_vs_putirka_twopx_eq37,delta_ours_vs_putirka_twopx_eq39,delta_ours_vs_putirka_twopx_eq38,delta_ours_T_vs_putirka_cpxonly_eq32d,delta_ours_P_vs_putirka_opxonly_eq29c
[18984] SCOTT J. M. (2014)|samp. HYD-6,INTRAPLATE VOLCANICS,0.8638680079206446,False,88.75120683889838,94.16607748610352,3.8403434386015665,-1.2320996974991338,-144.07860899656066,5.689028101252591
[18984] SCOTT J. M. (2014)|samp. HYD-8,INTRAPLATE VOLCANICS,0.7979410885776769,False,80.00917112468721,127.25631179717539,-1.5318348817553833,2.257734015916043,-174.38553454402108,6.168482826709397
[18984] SCOTT J. M. (2014)|samp. KAK-1,INTRAPLATE VOLCANICS,0.8543329386186608,False,94.41276369725631,84.25058257957312,4.78363312493158,1.549593590530371,-142.9922270377242,5.433998233999127
[18984] SCOTT J. M. (2014)|samp. KAK-2,INTRAPLATE VOLCANICS,0.8428444530950274,False,2.639321913474305,138.38005060656621,11.559612574481353,-10.85996098815187,-66.46437034226346,7.414522651795063
[18984] SCOTT J. M. (2014)|samp. KAK-3,INTRAPLATE VOLCANICS,0.7961405445286107,False,160.70777174364434,248.5533181064518,-1.8301299533755397,4.101766100029539,-164.07904730728262,9.359229732990265
[18984] SCOTT J. M. (2014)|samp. KAK-4,INTRAPLATE VOLCANICS,0.866827655089304,False,114.54377865502352,148.29366449745794,4.415136549685608,-3.689188031130529,-146.41804471719024,8.295018584067549
[18984] SCOTT J. M. (2014)|samp. LWA-10,INTRAPLATE VOLCANICS,1.012162361139159,True,6.236735446672128,90.26816540222512,73.20821445092754,-51.04768637609156,-61.3801007976283,18.11281556037062
[18984] SCOTT J. M. (2014)|samp. LWA-11,INTRAPLATE VOLCANICS,1.214843997260821,True,-12.81773229647024,29.700362106920238,3.3710892863505872,3.9996557939991124,-136.44630479845227,15.509013616688641
[18984] SCOTT J. M. (2014)|samp. LWA-15,INTRAPLATE VOLCANICS,1.0462358113310646,True,10.658404732817871,30.14821935560235,3.2818642084150866,2.02605980551934,-172.43641312578734,15.349720989989821
[18984] SCOTT J. M. (2014)|samp. LWA-16,INTRAPLATE VOLCANICS,1.2573602214390165,False,5.473206393021201,46.7071131888672,19.9931282877629,-10.117584553118489,-147.76506910637931,16.31552725792793
[18984] SCOTT J. M. (2014)|samp. LWA-4,INTRAPLATE VOLCANICS,0.9357980505635088,False,-38.34509561246591,19.85582620279922,0.7592000535016563,5.150538994314945,-198.75587794365924,13.015168004898502
[18984] SCOTT J. M. (2014)|samp. LWA-7,INTRAPLATE VOLCANICS,1.1211304241847633,True,-30.207880097358384,18.884463812641343,14.663136088622172,-4.379106822621948,-150.73394007657885,16.764057481028267
[18984] SCOTT J. M. (2014)|samp. MOE-12,INTRAPLATE VOLCANICS,1.1791097365227263,True,-62.099141541467816,-63.39822722805093,4.818731828764255,-0.1818115333010759,-102.66060320555562,6.992422639367582
[18984] SCOTT J. M. (2014)|samp. MOE-14,INTRAPLATE VOLCANICS,1.1431737779114566,True,-75.43430264819062,-86.09367706103512,5.211818001341104,-0.9458521050811424,-86.33873173670736,6.614668289535758
[18984] SCOTT J. M. (2014)|samp. MOE-15,INTRAPLATE VOLCANICS,1.058419759256945,True,69.75610334146461,91.12991422876917,2.89490720929971,-0.5489802027841648,-150.59708135701953,14.90556551263924
[18984] SCOTT J. M. (2014)|samp. MOE-17,INTRAPLATE VOLCANICS,1.0119992245876877,True,-0.20924398370129893,32.06176968145394,1.8715416009103336,6.9605059767649635,-185.22448644404187,11.029938807772114
[18984] SCOTT J. M. (2014)|samp. MOE-22,INTRAPLATE VOLCANICS,1.1342428075625928,True,-151.51129707918744,-77.25584701003163,7.98306001285845,1.8675794323026889,-129.9733431051411,7.403278064388417
[18984] SCOTT J. M. (2014)|samp. MOE-26,INTRAPLATE VOLCANICS,1.0188264394668132,True,-103.49450494228245,-70.35070696616572,7.824047076359735,2.9627380587492524,-134.0574284105055,8.771572761152264
[18984] SCOTT J. M. (2014)|samp. MOE-3,INTRAPLATE VOLCANICS,0.7101727965845992,False,101.95742717868222,171.71802246662435,-1.0796048582195485,7.028229415597342,-208.7333549007435,15.11983152273068
[18984] SCOTT J. M. (2014)|samp. MOE-6,INTRAPLATE VOLCANICS,1.046788737578211,True,-122.15636936740702,-87.55729230826091,5.451008821015019,0.08322197394407382,-144.87053443868945,9.572234045362924
[18984] SCOTT J. M. (2014)|samp. MUR-1,INTRAPLATE VOLCANICS,1.008666451221298,True,-10.678495317469697,31.797661264383805,3.862619256561924,0.08134313580200114,-116.68684815504639,5.640528269046344
[18984] SCOTT J. M. (2014)|samp. MUR-10,INTRAPLATE VOLCANICS,0.8779425463616972,False,49.65550877197495,54.15511827834371,2.1762531583134788,2.1058836165003854,-152.81432939038905,7.194515246220465
[18984] SCOTT J. M. (2014)|samp. MUR-2,INTRAPLATE VOLCANICS,0.9689821524467216,True,64.1898304580427,53.12113141422947,1.8470883392047668,2.170284466781329,-142.56710159508862,4.742469382335125
[18984] SCOTT J. M. (2014)|samp. MUR-4,INTRAPLATE VOLCANICS,0.9611555398280868,True,64.44007554228631,41.134123317231115,1.3525435519974192,0.9682137699858782,-140.1065018902118,4.594652165614834
[18984] SCOTT J. M. (2014)|samp. MUR-5,INTRAPLATE VOLCANICS,0.9533437107647283,True,31.500423509918846,22.498776457767917,3.09297098690344,0.4989362567485571,-164.7341589569894,5.213987414775578
[18984] SCOTT J. M. (2014)|samp. MUR-8,INTRAPLATE VOLCANICS,0.9020753867272914,False,56.05658895547003,64.82187860387126,0.6736161917308756,1.023594341790849,-145.81531314052768,4.043980213212409
[18984] SCOTT J. M. (2014)|samp. MUR-9,INTRAPLATE VOLCANICS,0.8903440934005508,False,77.83271747044569,101.23060795556728,0.12306615285844913,2.236462657288973,-145.7421833717176,6.59939723060437
