strategy,model_name,target,fold,n_test,rmse
LOSO,XGB,T_C,50,5,58.719883210513245
LOSO,XGB,T_C,51,10,53.59967984600541
LOSO,XGB,T_C,52,1,47.7938232421875
LOSO,XGB,T_C,53,7,26.190041668834493
LOSO,XGB,T_C,54,2,24.77816040891941
LOSO,XGB,T_C,55,1,95.057861328125
LOSO,XGB,T_C,56,3,86.09210408158243
LOSO,XGB,T_C,57,3,116.65092412982827
LOSO,XGB,T_C,58,6,27.27422483500975
LOSO,XGB,T_C,59,6,117.6837017654137
LOSO,XGB,T_C,60,19,25.224397340305398
LOSO,XGB,T_C,61,2,64.65223950942669
LOSO,XGB,T_C,62,17,103.98468170544368
LOSO,XGB,T_C,63,3,166.8260689764739
LOSO,XGB,T_C,64,16,113.31603942154865
LOSO,XGB,T_C,65,1,93.06475360576928
LOSO,XGB,T_C,66,3,116.0891043707948
LOSO,XGB,T_C,67,11,71.46554970619461
LOSO,XGB,T_C,68,14,52.37542960247491
LOSO,XGB,T_C,69,1,27.6717529296875
LOSO,XGB,T_C,70,10,24.439752611654256
LOSO,XGB,T_C,71,17,56.41688615972347
LOSO,XGB,T_C,72,5,122.33417801365479
LOSO,XGB,T_C,73,10,69.04082345837308
LOSO,XGB,T_C,74,1,255.9080064561631
LOSO,XGB,T_C,75,1,65.1519775390625
LOSO,XGB,T_C,76,12,68.90146243981123
LOSO,XGB,T_C,77,6,46.36655442449218
LOSO,XGB,T_C,78,1,58.8743896484375
LOSO,XGB,T_C,79,1,60.5994873046875
LOSO,XGB,T_C,80,3,79.32020100594154
LOSO,XGB,T_C,81,6,56.47348167471639
LOSO,XGB,T_C,82,2,81.10373490521519
LOSO,XGB,T_C,83,10,76.16312133563098
LOSO,XGB,T_C,84,1,63.12060546875
LOSO,XGB,T_C,85,5,81.06148085918602
LOSO,XGB,T_C,86,2,44.94670929073587
LOSO,XGB,T_C,87,2,281.065859268545
LOSO,XGB,T_C,88,6,73.95347441665554
LOSO,XGB,T_C,89,8,36.13169838226433
LOSO,XGB,T_C,90,8,225.72579935202995
LOSO,XGB,T_C,91,5,129.71737680801309
LOSO,XGB,T_C,92,4,9.171160491799943
LOSO,XGB,P_kbar,0,4,17.464370123454696
LOSO,XGB,P_kbar,1,1,1.725682186151971
LOSO,XGB,P_kbar,2,4,1.719138987084173
LOSO,XGB,P_kbar,3,4,6.038214736622538
LOSO,XGB,P_kbar,4,34,6.628428602907167
LOSO,XGB,P_kbar,5,3,1.5463169902489295
LOSO,XGB,P_kbar,6,17,1.5458841748838559
LOSO,XGB,P_kbar,7,10,5.2520132373509325
LOSO,XGB,P_kbar,8,23,9.953607682286268
LOSO,XGB,P_kbar,9,4,3.8065427514187533
LOSO,XGB,P_kbar,10,3,11.161509578139086
LOSO,XGB,P_kbar,11,4,8.618001465219718
LOSO,XGB,P_kbar,12,13,2.906156308156077
LOSO,XGB,P_kbar,13,9,5.239613455714278
LOSO,XGB,P_kbar,14,6,3.7238991740193494
LOSO,XGB,P_kbar,15,1,4.5007500648498535
LOSO,XGB,P_kbar,16,1,0.5853495597837775
LOSO,XGB,P_kbar,17,7,2.2996444525473887
LOSO,XGB,P_kbar,18,4,2.8364265206108437
LOSO,XGB,P_kbar,19,1,7.538266658783119
LOSO,XGB,P_kbar,20,3,4.622210823036261
LOSO,XGB,P_kbar,21,23,8.503307094507518
LOSO,XGB,P_kbar,22,12,2.6352430672727243
LOSO,XGB,P_kbar,23,9,1.7810474506139466
LOSO,XGB,P_kbar,24,8,1.763568755598188
LOSO,XGB,P_kbar,25,9,2.1674078323844794
LOSO,XGB,P_kbar,26,3,5.176577531203026
LOSO,XGB,P_kbar,27,2,0.8228099412984605
LOSO,XGB,P_kbar,28,3,6.13982549106428
LOSO,XGB,P_kbar,29,3,1.731180684383708
LOSO,XGB,P_kbar,30,1,0.07763671875
LOSO,XGB,P_kbar,31,21,2.0202568382312327
LOSO,XGB,P_kbar,32,7,1.7690531403197673
