track,model,repr,target,n_aug,seed,rmse_test,rmse_train,r2_test,overfit_ratio
opx_liq,XGB,raw,T_C,10,44,74.29652921356181,3.889877896999521,0.8862502861963966,0.052356118625921995
opx_liq,RF,raw,P_kbar,10,44,5.556829147446476,2.10562121535055e-08,0.5731129473175609,3.789249515289028e-09
opx_liq,XGB,raw,P_kbar,10,44,4.941732971894937,0.21009916046564378,0.6623883348428643,0.04251527989483414
opx_liq,RF,raw,T_C,15,44,75.18425255624388,1.3360704783949855e-14,0.8835157966913976,1.7770615959711738e-16
opx_liq,XGB,raw,T_C,15,44,70.35818643835708,4.620172882240772,0.8979900502617366,0.06566645782276728
opx_liq,RF,raw,P_kbar,15,44,5.652221839459916,2.351955028019911e-08,0.5583306189729664,4.1611159201151355e-09
opx_liq,XGB,raw,P_kbar,15,44,5.083390382435043,0.2727771145306486,0.6427552782301811,0.0536604694916197
opx_liq,RF,alr,T_C,1,44,74.14040312975976,0.0,0.8867278492244582,0.0
opx_liq,XGB,alr,T_C,1,44,83.82157205577631,0.20580197274420753,0.8552145687819522,0.0024552387612971917
opx_liq,RF,alr,P_kbar,1,44,5.140660135452207,2.2396846496897918e-08,0.6346604583070601,4.35680358295613e-09
opx_liq,XGB,alr,P_kbar,1,44,4.5908940819997515,0.010333715761190887,0.7086242252444015,0.0022509157424711514
opx_liq,RF,alr,T_C,3,44,79.37664700996945,0.0,0.870162913955168,0.0
opx_liq,XGB,alr,T_C,3,44,78.33257872858708,1.4090447405881354,0.8735560342936579,0.017987978481728596
opx_liq,RF,alr,P_kbar,3,44,5.173483266208883,1.555126292780728e-08,0.6299801758560679,3.005955973489252e-09
opx_liq,XGB,alr,P_kbar,3,44,4.65701077602084,0.059860489675600474,0.7001711764110939,0.012853843925769907
opx_liq,RF,alr,T_C,5,44,80.47725953147383,0.0,0.8665373884548844,0.0
opx_liq,XGB,alr,T_C,5,44,73.9246042270233,2.456293384096326,0.8873862872823124,0.0332270075677784
opx_liq,RF,alr,P_kbar,5,44,5.078331593575318,2.0498643968642704e-08,0.6434659560428597,4.036491826287176e-09
opx_liq,XGB,alr,P_kbar,5,44,4.338741801251033,0.10723798216804206,0.7397525354808085,0.024716377945588064
opx_liq,RF,alr,T_C,10,44,85.51469315449458,0.0,0.8493064222332356,0.0
opx_liq,XGB,alr,T_C,10,44,79.92003039777504,4.209483805251583,0.8683791953792621,0.05267119875080496
opx_liq,RF,alr,P_kbar,10,44,5.462071497413583,2.205741961444726e-08,0.5875477696871647,4.038288335275721e-09
opx_liq,XGB,alr,P_kbar,10,44,4.4213826790113115,0.19211061816637554,0.7297441483946959,0.04345034847997695
opx_liq,RF,alr,T_C,15,44,86.12891311899189,1.0480999139801967e-14,0.8471338970480842,1.2168967145007255e-16
opx_liq,XGB,alr,T_C,15,44,91.16675444549783,5.2898163998345336,0.828728047467216,0.058023524386808585
opx_liq,RF,alr,P_kbar,15,44,5.614839600766189,2.1866221268986995e-08,0.5641534590681343,3.894362586244348e-09
opx_liq,XGB,alr,P_kbar,15,44,4.539441086522232,0.23034197573173992,0.7151188831301205,0.05074236482892877
opx_liq,RF,pwlr,T_C,1,44,77.86762478321332,0.0,0.8750526310280209,0.0
opx_liq,XGB,pwlr,T_C,1,44,95.14948877777582,0.07809258860182776,0.8134367154850952,0.0008207357664760038
opx_liq,RF,pwlr,P_kbar,1,44,4.808250042782975,1.8110638072400713e-08,0.6803807093506754,3.766575762752644e-09
opx_liq,XGB,pwlr,P_kbar,1,44,4.608053879515336,0.0055210983687123604,0.7064419515581608,0.001198141018544917
opx_liq,RF,pwlr,T_C,3,44,89.87998200311424,0.0,0.8335287601272239,0.0
opx_liq,XGB,pwlr,T_C,3,44,103.26741240742726,0.9458667443615242,0.7802444508345515,0.009159392322427313
opx_liq,RF,pwlr,P_kbar,3,44,4.996978628427949,2.3226375904354667e-08,0.6547975422945207,4.64808389858207e-09
opx_liq,XGB,pwlr,P_kbar,3,44,4.351486220949132,0.04146783698572271,0.7382214122979603,0.009529580212407953
opx_liq,RF,pwlr,T_C,5,44,84.12777713332584,0.0,0.8541548174433056,0.0
opx_liq,XGB,pwlr,T_C,5,44,92.10755858080043,1.9701398660899598,0.8251748930780329,0.021389556909834653
opx_liq,RF,pwlr,P_kbar,5,44,5.009554775025127,3.188470278617544e-08,0.6530577791129146,6.3647777533314845e-09
opx_liq,XGB,pwlr,P_kbar,5,44,4.585653493242672,0.08717390824127026,0.7092890670133458,0.019010138548350416
opx_liq,RF,pwlr,T_C,10,44,77.09811688964956,0.0,0.8775099528586194,0.0
opx_liq,XGB,pwlr,T_C,10,44,82.93846449449035,3.548117507729014,0.8582492903097388,0.042780120530983755
opx_liq,RF,pwlr,P_kbar,10,44,5.406223763133696,3.385733381771201e-08,0.5959390046539255,6.262658613687633e-09
opx_liq,XGB,pwlr,P_kbar,10,44,4.328529412861542,0.14200196331725234,0.7409762175740628,0.03280605253491311
opx_liq,RF,pwlr,T_C,15,44,81.32635411084301,1.171811327435701e-14,0.8637062732276779,1.4408752737625387e-16
opx_liq,XGB,pwlr,T_C,15,44,83.73778178861627,4.677087759489393,0.8555038868208693,0.05585397247918525
opx_liq,RF,pwlr,P_kbar,15,44,5.556862869278216,4.049537455031107e-08,0.5731077661407926,7.287452561443367e-09
