obs_T_C,obs_P_kbar,putirka_pred_T_C,putirka_pred_P_kbar,ml_pred_T_C,ml_pred_P_kbar
1560.0,30.0,1564.3081185837277,22.460530482360518,1482.3913757022372,26.60541790921018
1550.0,30.0,1553.5805826376622,21.95919620537159,1441.4035407732763,27.00791791214074
1380.0,10.0,1367.6715355634778,10.441599510550201,1366.911537945657,10.590052937381447
1371.0,10.0,1353.38059883519,,1348.197703258915,9.85527267855598
1160.0,12.999999523163,1178.7302055938785,11.39959805370135,1066.5460850189347,13.289061051604426
1162.0,12.999999523163,1183.0225369002928,11.254318895049437,1085.046148663944,11.47528850124869
1185.0,12.999999761581499,1203.182207645431,11.201909961169944,1139.958852025758,13.693150353282052
1130.0,12.999999523163,1163.5846068977526,9.813091222611643,1004.3831621063744,10.851091248063955
1160.0,10.0,1194.7466729873295,10.99968649153075,1162.9661799316723,11.23451415877818
1071.0,0.00099999997473788,1036.948597955637,-1.27854826400712,954.2087364273455,2.715231406191381
1155.0,6.999999880790701,1175.5444289601855,7.991904234664723,1120.9294177199736,9.99252879649879
1130.0,10.0,1176.4967691780148,9.813281765903103,1091.5037564412444,10.55525338035171
1100.0,10.0,1162.6315207750454,9.101972449408063,1041.528252020187,10.39508646200586
1145.0,6.999999880790701,1187.8957782474981,9.734359426213574,1183.3104222414265,10.491117974586974
1570.0,27.999999523163,1535.0367595468874,,1430.1986695288485,23.929792751862905
1547.5,27.999999523163,1541.234406583178,,1424.0101354325911,24.262376086943735
1565.0,27.999999523163,1562.9523535300932,,1477.4153326690662,24.902172493806162
1175.0,15.0,1182.031356483893,,1266.3988114964015,11.927461231485438
1175.0,15.0,1152.949355847109,14.422848342916115,1215.7741615602133,12.912715028721712
1200.0,20.0,1180.6695838302599,15.513392380909306,1291.2904164220615,15.780961358014824
1300.0,20.0,1302.0232813010452,16.143279189684673,1419.4769993166574,19.107686418063178
1400.0,15.0,1370.2800693941276,14.780321355421218,1320.524460553432,15.894509202407814
1450.0,20.0,1411.6129612979848,18.552214526705882,1346.7820499957224,16.38384591816155
1250.0,20.0,1253.29481359813,16.310866854079656,1375.39521808894,22.087143496243872
1200.0,15.0,1174.22312204533,13.473402941204938,1312.3930536804055,10.001055493084344
1300.0,20.0,1296.3442478369507,16.597044535379467,1423.2495455534051,19.65476052913946
1450.0,20.0,1445.938607259986,18.800630125960502,1436.8145395593983,23.687502513515202
1275.0,20.0,1247.285190126353,17.401684110710683,1393.5245472615038,21.26884761784834
1425.0,20.0,1421.9430364030404,19.729577235698983,1377.0357189610152,18.412666690142718
1450.0,15.0,1440.2933092057556,14.976178255337361,1433.3542430642274,20.342047559864547
1475.0,20.0,1471.1379346197732,19.192696608253986,1460.1380401028382,24.217002517102628
1300.0,0.001,1278.6351910683757,,1309.0085994878916,11.737008302734152
1300.0,0.001,1275.3630605719732,,1311.1553947795983,12.0345034987732
1300.0,0.001,1263.2106488299505,,1298.4926536798425,9.27665757593574
