index,T_mean,T_sigma,P_mean,P_sigma
123,1265.1999992784993,3.321469575092414,0.10832586484618961,0.30451901298724837
124,1253.2743703927727,9.59790508000729,10.128477762820896,0.3793447288992137
177,1174.9622759725496,4.11727375571716,0.008747786144289392,0.07811431846298664
178,1192.702434800484,1.4042972090963615,0.11139755052482123,0.2671089934601705
179,1347.9863438714062,14.69729698756165,5.41732212558927,4.346951099258907
180,1280.825889309764,18.343847138984255,1.7377689202251616,2.004569102142918
181,1189.4893504772344,1.4715419304665003,1.8185267778329006,1.6581510522986125
182,1288.7692252886002,22.19618571527518,1.1394525492689207,0.7225055459857997
183,1205.7145947572185,3.900167947382692,0.006580120667073062,0.052029693537619166
184,1349.834406149406,10.024207654480195,4.490801180163509,4.599332926662451
185,1190.6152260659417,3.2123112023124145,0.12778109592280854,0.271007483637812
186,1206.7274180565219,5.461508083703415,0.0010132500028702997,2.168404344971009e-19
187,1191.3636172488227,1.1426360864901581,0.8863611470084813,1.124000626618418
188,1289.9378203463202,24.113398147635277,0.0010132500028702997,2.168404344971009e-19
191,1315.343398488086,16.05671019244173,14.658125471195541,1.5935649992850984
193,1271.2051863136862,11.971392019974957,12.0000004746454,8.331316115699805e-09
205,1124.8752537240537,3.3987641259227725,6.394584600528699,0.9373659478365944
221,1262.80475499038,9.308234471457434,12.144668127830478,0.5963534382930029
222,1324.1877957875456,4.4943400658806585,14.885167695909983,0.5464872874419178
223,1321.7524139194138,4.8490307759746,14.53634638228094,1.0427425026077832
224,1326.2813841575094,9.370902151627812,14.784031126197835,0.7653922052219514
246,1303.2422554112554,4.572271990696289,10.318223379701756,0.7163378979505143
247,1255.6785290889666,14.438364093553957,11.42899273671045,0.8563755277934703
248,1375.723073953824,12.82584507125316,13.448717957023012,3.2505199996269107
249,1327.9876499680875,20.69656071237513,10.598115512002913,1.0957625973578862
250,1341.4611462218338,12.984025895160842,11.452278139471803,0.9029621092416533
251,1230.2559165676284,15.049652411022146,10.717500055753657,0.9335115805143704
252,1272.650582867364,15.32630442568122,10.025,0.3526683994916471
256,1539.79305988456,4.840827917227445,15.05,0.4974937185533099
257,1518.167228354978,7.727991553591338,14.987999999523165,0.16928083848257602
258,1406.7929450757574,8.839088983216442,9.225891663184223,2.872675836548324
262,1347.4626023351648,6.101639084837595,15.167500102835007,0.9556116752431967
268,1221.8294970485244,10.599850334512748,11.778571097556114,0.40657251150025486
269,1403.7895718795096,7.810904087899878,19.90499997735019,0.29321500813592793
270,1284.7256181226182,15.632877428721564,12.81786696721816,1.6278886951956937
271,1323.4386967638845,11.61884939461418,13.512208091213388,1.8516121385271613
272,1228.4403378166971,9.538052493618581,11.085624875628163,0.8693579351321242
273,1245.8396989876444,9.617589192913389,11.555827659687639,0.6632124213043611
