Experiment,Citation,DOI,T_C,P_kbar,SiO2,TiO2,Al2O3,Cr2O3,FeO_total,MnO,MgO,CaO,Na2O,cat_Si,cat_Ti,cat_Al,cat_Cr,cat_Fe,cat_Mn,cat_Mg,cat_Ca,cat_Na,Mg_num,Al_IV,Al_VI,En_frac,Fs_frac,Wo_frac,MgTs,oxide_total,cation_sum,Device,Rock type
153,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,697.0,2.0700000226498,54.700000762939,0.27000001072884,1.9199999570847,0.070000000298023,10.699999809265,0.33000001311302,30.700000762939,2.1099998950958,0.050000000745058,1.9239395981577352,0.007144383946663197,0.07959028627036056,0.0019465966017652033,0.3147430899254968,0.009831144460148687,1.6097305060779812,0.07951711234230575,0.0034097173541656877,0.8364523729610432,0.07606040184226481,0.0035298844280957503,0.8032624599376267,0.1570581583111755,0.039679381751197854,0.07606040184226481,100.85000121220844,4.029852435136623,CSPV,
154,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1139.0,0.00099999997473788,54.900001525879,0.30000001192093,1.9099999666214,0.050000000745058,10.0,0.37000000476837,31.200000762939,2.2400000095367,0.03999999910593,1.9227776718002638,0.00790450883728599,0.07883967408191346,0.001384524172906415,0.29290382760472405,0.010976009217761023,1.6290034559258422,0.08405795103742375,0.0027161951138388635,0.8475973164185859,0.07722232819973618,0.0016173458821772818,0.812079605296185,0.14601640275575595,0.041903991948059216,0.07722232819973618,101.01000228151639,4.030563817791959,1-atm,
152,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,601.0,2.0700000226498,55.200000762939,0.36000001430512,1.9500000476837,0.03999999910593,8.8699998855591,0.40000000596046,32.299999237061,2.1400001049042,0.050000000745058,1.9179257224684627,0.009410054131036013,0.07985131433148228,0.0010988198588611127,0.2577416755727734,0.011771687311973561,1.6730383626335081,0.07966738467952646,0.0033682706354147243,0.8665090427326881,0.07985131433148228,0.0,0.8321721541128486,0.1282011519618899,0.03962669392526138,0.07985131433148228,101.31000005826357,4.033873291623038,CSPV,
27,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1320.0,10.0,55.0,0.27000001072884,1.0800000429153,0.15999999642372,14.10000038147,0.43000000715256,28.0,2.0,0.03999999910593,1.9574725075870945,0.007229257042189232,0.04530138723091796,0.004502220620428821,0.4196820932025487,0.012962461042629,1.4855993486250694,0.07626706664431407,0.0027601788997038373,0.7797269820672931,0.04252749241290554,0.0027738948180124137,0.7497163669087702,0.21179501355038027,0.03848861954084954,0.04252749241290554,101.08000043779636,4.0117765208948954,PC,
30,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1280.0,10.0,54.299999237061,0.28000000119209,1.0099999904633,0.10000000149012,15.199999809265,0.40999999642372,26.799999237061,2.1199998855591,0.059999998658895,1.9594997742881648,0.007601518050622704,0.04295577024807942,0.0028531146179395024,0.4587301764193559,0.012531852278773473,1.441752998325121,0.08197006839962341,0.00419798520104623,0.7586244474481955,0.0405002257118352,0.0024555445362442196,0.7272570000382718,0.23139520591760648,0.04134779404412172,0.0405002257118352,100.27999815717423,4.012093257828727,PC,
31,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1280.0,10.0,53.400001525879,0.43999999761581,1.4199999570847,0.03999999910593,17.5,0.62999999523163,25.5,1.6699999570847,0.019999999552965,1.9416740225305935,0.012036067886028077,0.06085245851571502,0.001149923238380705,0.5321590261349072,0.019402675334922508,1.3822478355607735,0.06506172542571946,0.0014099681585818047,0.7220240708584021,0.05832597746940649,0.0025264810463085305,0.6982923823867686,0.2688393387988986,0.032868278814332734,0.05832597746940649,100.62000143155473,4.015993702785622,PC,
25,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1320.0,12.000000476837,56.5,0.20000000298023,0.83999997377396,0.10000000149012,10.300000190735,0.27000001072884,31.299999237061,1.4099999666214,0.029999999329448,1.9715244511951533,0.005250257760986654,0.03454520221252463,0.0027588465447659785,0.3005794502611334,0.007980011568240995,1.628203687837944,0.05271653877094034,0.0020296410270487903,0.8441610960175797,0.028475548804846706,0.0060696534076779204,0.8217027269012019,0.15169290904751978,0.026604364051278338,0.028475548804846706,100.94999938272,4.005588087178738,PC,
26,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1340.0,10.0,56.0,0.23000000417232,0.98000001907349,0.11999999731779,10.89999961853,0.27000001072884,30.89999961853,1.539999961853,0.03999999910593,1.9612538114757503,0.00605997065479078,0.040450752450220596,0.0033227741874403203,0.31925711853423316,0.008009318692903979,1.6132992612912813,0.05778838391795795,0.0027161266921003047,0.8348006185656234,0.038746188524249714,0.0017045639259708825,0.8105627179167503,0.1604029233275994,0.029034358755650264,0.038746188524249714,100.97999922931137,4.012157517896679,PC,
10,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1270.0,10.0,54.799999237061,0.23999999463558,0.9200000166893,0.11999999731779,13.199999809265,0.36000001430512,28.700000762939,1.8500000238419,0.019999999552965,1.9587661506337775,0.006453720807312491,0.03875650623918692,0.0033912288045056874,0.39458838391293644,0.010899098453538694,1.5293068489893777,0.0708513023533523,0.0013860416861539648,0.794901314185557,0.03875650623918692,0.0,0.7666672541899497,0.19781379585770884,0.03551894995234133,0.03875650623918692,100.20999985560766,4.014399281880142,PC,
11,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1060.0,0.00099999997473788,55.599998474121,0.25999999046326,0.88999998569489,0.10000000149012,12.39999961853,0.27000001072884,28.799999237061,1.9800000190735,0.019999999552965,1.9744645946662673,0.006946160380386697,0.03724940306518708,0.00280768508836679,0.36826850258639554,0.00812127790422112,1.524676597957392,0.0753379556305479,0.0013770471956099412,0.8054520955306084,0.025535405333732664,0.011713997731454415,0.7746226302028115,0.18710139348665772,0.038275976310530736,0.025535405333732664,100.31999733671557,3.999249224474374,1-atm,
12,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1450.0,0.00099999997473788,55.5,0.27000001072884,0.73000001907349,0.070000000298023,12.800000190735,0.36000001430512,28.89999961853,1.9099999666214,0.050000000745058,1.9707906418919563,0.007212871469811433,0.030550978644131782,0.0019652570742172666,0.3801244612718662,0.01082769580158845,1.5298752987349782,0.07266996209007456,0.0034424036008687963,0.800981932442492,0.029209358108043704,0.0013416205360880784,0.7716238774842163,0.19172354176561363,0.03665258075017006,0.029209358108043704,100.58999982103694,4.007459570579493,1-atm,
13,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1360.0,10.0,55.599998474121,0.27000001072884,0.9200000166893,0.14000000059605,13.5,0.31999999284744,28.299999237061,2.2200000286102,0.0099999997764826,1.9677111494767552,0.0071886485526235725,0.03837329999252506,0.003917314340407879,0.39956613112438466,0.009592295630620216,1.4930820621096403,0.08418090928899656,0.0006861685764022018,0.7888851543816846,0.032288850523244816,0.006084449469280245,0.755291421096555,0.20212477174401142,0.042583807159433607,0.032288850523244816,101.27999776043032,4.004297979092356,PC,
14,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,1450.0,0.00099999997473788,55.200000762939,0.33000001311302,0.68999999761581,0.11999999731779,13.300000190735,0.34999999403954,28.299999237061,2.25,0.03999999910593,1.9677226611391747,0.008849844997120737,0.028988693306579123,0.003382048707300208,0.39650145367377004,0.010567660683386252,1.5039102335289185,0.08593723716589441,0.0027645793092421554,0.7913602319203791,0.028988693306579123,0.0,0.7571228876653575,0.19961319424270296,0.043263918091939454,0.028988693306579123,100.5800001919271,4.008624412511386,1-atm,
